Firma lub nazwa,Adres siedziby,Zakres czynności,KRS,NIP,REGON,Data zezwolenia,Numer decyzji,CzlonekZarzadu1_PESEL,CzlonekZarzadu1_Imie,CzlonekZarzadu1_DrugieImie,CzlonekZarzadu1_Nazwisko
Mazowiecki Marmur Spółka z ograniczoną odpowiedzialnością,"Floriańska 180, 31-019 Kraków",wykonywanie zleceń na rachunek klientów,0000012327,1244862595,245020978,12-11-2024,DFI/168/2020,80061464205,Zofia,Kamila,Tomaszewska
Pomorski Giewont S.A.,"ul. Długa 17/45, 31-147 Kraków",przyjmowanie i przekazywanie zleceń,0000012424,1244941780,245100163,2018-04-03,DFI/701/2021,68101434201,Barbara,Karolina,Włodarczyk
Dolnośląski Sudety SA,"ul Piotrkowska 34, 90-102 Łódź",przyjmowanie i przekazywanie zleceń,0000012521,1245020970,245179354,20200814,DFI/800/2021,02221404201,Martyna,,Olszewska
Karpacki Gryf S. A.,"ulica Zachodnia 51, 90-402 Łódź",przyjmowanie i przekazywanie zleceń,0000012618,1245100166,255258577,06/11/2019,DFI/616/2021,90061474207,Zofia,Kamila,Urbańska
Bałtycki Neon Spółka Akcyjna,"Świdnicka 68, 50-066 Wrocław",zarządzanie portfelami,0000012715,1245179357,245337735,2025/20/05,DFI/694/2021,78101444203,Barbara,Karolina,Konieczna
Młody Wektor sp. z o.o.,"ul. Legnicka 85/7, 54-203 Wrocław",zarządzanie portfelami,0000012812,1245258542,245416920,02-05-2022,DFI/491/2021,66021414200,Martyna,,Matusiak
Wspólny Noteć sp z oo,"ul Święty Marcin 102, 61-806 Poznań",wykonywanie zleceń na rachunek klientów,0000012909,1245337738,255496147,2017-03-01,DFI/675/2019,00261484205,Zofia,Kamila,Przybylska
Pierwszy Granit sp. z o. o.,"ulica Głogowska 119, 60-734 Poznań",przyjmowanie i przekazywanie zleceń,0000013006,1245416923,245575305,20180819,DFI/362/2023,88101454205,Barbara,Karolina,Janik
Zielony Żubr Sp. z o.o.,"Długa 136, 80-831 Gdańsk",przyjmowanie i przekazywanie zleceń,0000013103,1245496112,245654499,26/07/2020,DFI/632/2026,76021424202,Martyna,,Dąbrowska
Niebieski Narew SP Z O O,"ul. Grunwaldzka 153/59, 80-236 Gdańsk",doradztwo inwestycyjne,0000013200,1245575308,245733684,2019/20/01,DFI/122/2017,64061494204,Zofia,Kamila,Jabłońska
Złoty Syrena spółka z ograniczoną odpowiedzialnością,70-435 Szczecin,wykonywanie zleceń na rachunek klientów,0000013297,1245654491,255812909,26-07-2023,DFI/428/2019,98101464207,Barbara,Karolina,Zając
Srebrny Rysy Spółka z ograniczoną odpowiedzialnością,"ulica Wyszyńskiego 7, 70-200 Szczecin",przyjmowanie i przekazywanie zleceń,0000013394,1245733687,245892069,2025-27-01,DFI/548/2022,86021434204,Martyna,,Borkowska
Czysty Amber S.A.,"Mariacka 24, 40-014 Katowice",doradztwo inwestycyjne,0000013491,1245812872,245971254,20190316,DFI/806/2020,74061404206,Zofia,Kamila,Jaworska
P.P.H.U. Szybki Horyzont,"ul. Warszawska 41/21, 40-009 Katowice",wykonywanie zleceń na rachunek klientów,0000013588,1245892061,246050444,13/05/2017,DFI/895/2021,62101474201,Barbara,Karolina,Błaszczyk
Pewny Oaza S. A.,"ul Krakowskie Przedmieście 58, 20-002 Lublin",wykonywanie zleceń na rachunek klientów,0000013685,1245971257,246129631,2019/25/10,DFI/540/2021,96021444206,Martyna,,Brzezińska
Dobry Zefir Spółka Akcyjna,"ulica Narutowicza 75, 20-004 Lublin",wykonywanie zleceń na rachunek klientów,0000013782,1246050447,246208827,30-06-2017,DFI/925/2020,84061414208,Zofia,Kamila,Gajda
Polski Pilica sp. z o.o.,"Lipowa 92, 15-424 Białystok",przyjmowanie i przekazywanie zleceń,0000013879,1246129634,246288016,2024-28-12,DFI/439/2025,72101484203,Barbara,Karolina,Michalak
Europejski Marmur sp z oo,"ul. Sienkiewicza 109/73, 15-092 Białystok",zarządzanie portfelami,0000013976,1256208855,246367201,20200817,DFI/490/2024,60021454200,Martyna,,Kowalska
Globalny Giewont sp. z o. o.,"os. Gdańska 126, 85-005 Bydgoszcz",wykonywanie zleceń na rachunek klientów,0000014073,1246288019,246446395,09/09/2021,DFI/132/2021,94061424200,Zofia,Kamila,Mazur
Lokalny Sudety Sp. z o.o.,"ulica Dworcowa 143, 85-009 Bydgoszcz",przyjmowanie i przekazywanie zleceń,0000014170,1246367204,,2025/02/02,DFI/833/2026,82101494205,Barbara,Karolina,Witkowska
Nowoczesny Gryf SP Z O O,"Szeroka 160, 87-100 Toruń",doradztwo inwestycyjne,0000014267,1246446398,246604776,11-09-2018,DFI/985/2026,70021464202,Martyna,,Pietrzak
Tradycyjny Neon spółka z ograniczoną odpowiedzialnością,"ul. Chełmińska 177/35, 87-100 Toruń",wykonywanie zleceń na rachunek klientów,0000014364,1246525583,246683965,2021-29-01,DFI/126/2026,04261434208,Zofia,Kamila,Sawicka
Dynamiczny Wektor Spółka z ograniczoną odpowiedzialnością,"ul 3 Maja 14, 35-030 Rzeszów",przyjmowanie i przekazywanie zleceń,0000014461,1246604779,246763150,20220731,DFI/191/2024,92101404207,Barbara,Karolina,Malinowska
Amber Budownictwo S.A.,"ulica Piłsudskiego 31, 35-074 Rzeszów",doradztwo inwestycyjne,0000014558,1246683968,,15/04/2023,DFI/719/2022,80021474204,Martyna,,Szulc
Falcon Transport SA,"Sienkiewicza 48, 25-007 Kielce",doradztwo inwestycyjne,0000014655,1246763153,246921531,2025/28/08,DFI/152/2021,68061444207,Zofia,Kamila,Makowska
Koral Spedycja S. A.,"ul. Warszawska 65/87, 25-512 Kielce",wykonywanie zleceń na rachunek klientów,0000014752,1246842349,247000721,30-10-2022,DFI/828/2020,02301414205,Barbara,Karolina,Klimek
Pegaz Logistyka Spółka Akcyjna,"ul Kościuszki 82, 10-504 Olsztyn",zarządzanie portfelami,0000014849,1246921534,247079912,2017-31-01,DFI/381/2021,90021484206,Martyna,,Szatkowska
Wektor Handel sp. z o.o.,"ulica Dąbrowszczaków 99, 10-540 Olsztyn",doradztwo inwestycyjne,0000014946,1247000724,247159108,20201220,DFI/427/2020,88061454209,Zofia,Kamila,Nowacka
Kormoran Usługi sp z oo,"Krakowska 116, 45-018 Opole",przyjmowanie i przekazywanie zleceń,0000015043,1247079915,247238291,28/09/2019,DFI/521/2025,66101424204,Barbara,Karolina,Krawczyk
Jodełka Finanse sp. z o. o.,"ul. Ozimska 133/49, 45-057 Opole",doradztwo inwestycyjne,0000015140,1247159100,247317487,2023/13/11,DFI/722/2023,00221494204,Martyna,,Walczak
Marmur Doradztwo Sp. z o.o.,"ul Bohaterów Westerplatte 150, 65-034 Zielona Góra",zarządaznie portfelami,0000015237,1247238294,247396676,16-07-2020,DF/319/2026,88061464201,Zofia,Kamila,Wójiccka
Krokus Szkolenia SP Z O O,"ulica Kupiecka 167, 65-058 Zielona Góra",wykonywanie zleceń na rachunek klientów,0000015334,1257317517,247475861,2019-27-01,DFI/909/2026,76101434206,Barbara,Karolina,Dudek
Beskid Media spółka z ograniczoną odpowiedzialnością,"Świętojańska 4, 81-372 Gdynia",wykonywanie zleceń na rachunek klientów,0000015431,1247396679,247555057,20190101,DFI/304/2022,64021404203,Martyna,,Pająk
Facebook - Meta,"ul. 10 Lutego 21/11, 81-364 Gdynia",wykonywanie zleceń na rachunek klientów,0000015528,1247475864,247634242,03/04/2023,DFI/662/2020,98061474203,Zofia,Kamila,Kozak
Falcon Marketing S.A.,"ul Bolesława Prusa 38, 05-800 Pruszków",przyjmowanie i przekazywanie zleceń,0000015625,1257555085,247713438,2017/29/11,DFI/522/2023,86101444208,Barbara,Karolina,Wrona
Koral Druk SA,"ulica Kościuszki 55, 05-500 Piaseczno",doradztwo inwestycyjne,0000015722,1247634245,247792627,30-10-2025,DFI/372/2023,74021414205,Martyna,,Madej
Pegaz Informatyka S. A.,"Sienkiewicza 72, 32-020 Wieliczka",wykonywanie zleceń na rachunek klientów,0000015819,1247713430,247871812,2022-08-05,DFI/731/2020,62061484207,Zofia,Kamila,Bednarek
Wektor Oprogramowanie Spółka Akcyjna,"ul. Dąbrowskiego 89/63, 32-600 Oświęcim",przyjmowanie i przekazywanie zleceń,0000015916,1257792655,247951008,20251006,DFI/588/2026,96101454200,Barbara,Karolina,Wiśniewska
Kormoran Rolnictwo sp. z o.o.,"ul Rynek 106, 38-400 Krosno",wykonywanie zleceń na rachunek klientów,0000016013,2247871815,248030196,28/09/2021,DFI/740/2018,84021424207,Martyna,,Woźniak
Jodełka Ogrodnictwo sp z oo,"ulica Mickiewicza 123, 39-300 Mielec",przyjmowanie i przekazywanie zleceń,0000016110,1247951000,248109383,2021/03/03,DFI/121/2022,72061494209,Zofia,Kamila,Stępień
Marmur Produkcja sp. z o. o.,"Długa 140, 58-100 Świdnica",zarządzanie portfelami,0000016207,1248030199,248188572,23-12-2021,DFI/364/2024,60101464204,Barbara,Karolina,Czarnecka
Krokus Przemysł Sp. z o.o.,"157/25, 57-300 Kłodzko",wykonywanie zleceń na rachunek klientów,0000016304,1248109386,248267768,2021-21-03,DFI/277/2024,94021434209,Martyna,,Adamczyk
Beskid Ekologia SP Z O O,"ul Chrobrego 174, 62-200 Gniezno",doradztwo inwestycyjne,0000016401,1248188575,248346953,20200217,DFI/224/2024,82061404201,Zofia,Kamila,Szczepańska
Amber Energetyka spółka z ograniczoną odpowiedzialnością,"ulica Słowiańska 11, 64-100 Leszno",doradztwo inwestycyjne,0000016498,1248267760,248426149,21/06/2023,DFI/877/2018,70101474206,Barbara,Karolina,Cieślak
Falcon Instalacje Spółka z ograniczoną odpowiedzialnością,"Gdańska 28, 83-110 Tczew",zarządzanie portfelami,0000016595,1248346956,248505334,2019/09/11,DFI/579/2023,04221444207,Martyna,,Bąk
Koral Nieruchomości S.A.,"ul. Sobieskiego 45/77, 84-200 Wejherowo",przyjmowanie i przekazywanie zleceń,0000016692,1248426141,248584523,07-03-2018,DFI/474/2023,92061414203,Zofia,Kamila,Krupa
Pegaz Inwestycje SA,"ul Głęboka 62, 43-400 Cieszyn",zarządzanie portfelami,0000016789,1248505337,248663719,2025-20-03,DFI/570/2017,80101484208,Barbara,Karolina,Podgórska
Wektor Medycyna S. A.,"os. Małachowskiego 79, 42-500 Będzin",wykonywanie zleceń na rachunek klientów,0000016886,1248584526,248742904,20231126,DFI/699/2019,68021454206,Martyna,,Wójcik
Kormoran Zdrowie Spółka Akcyjna,"Królowej Jadwigi 96, 88-100 Inowrocław",zarządzanie portfelami,0000016983,1248663711,248822098,17/11/2025,DFI/289/2021,02261424201,Zofia,Kamila,Jankowska
Jodełka Urody sp. z o.o.,"ul. Wybickiego 113/39, 86-300 Grudziądz",przyjmowanie i przekazywanie zleceń,0000017080,1248742907,248901283,2018/01/09,DFI/284/2025,90101494200,Barbara,Karolina,Baran
Marmur Turystyka sp z oo,"ul Czarnieckiego 130, 14-100 Ostróda",przyjmowanie i przekazywanie zleceń,0000017177,1248822090,248980472,11-07-2021,DFI/392/2026,78021464208,Martyna,,Lis
Krokus Rozrywka sp. z o. o.,"ulica Warszawska 147, 11-500 Giżycko",zarządzanie portfelami,0000017274,1248901286,249059664,2024-10-09,DFI/355/2024,66061434200,Zofia,Kamila,Pawłowska
Beskid Gastronomia Sp. z o.o.,"Lubelska 164, 24-100 Puławy",zarządzanie portfelami,0000017371,1248980475,259138887,201811050208,DFI/298/2025,00301404208,Barbara,Karolina,Czerwińska
PPHU Amber Moda,"ul. Staszica 1/1, 22-400 Zamość",zarządzanie portfelami,0000017468,1249059667,249218045,19/07/2017,DFI/721/2018,88021474200,Martyna,,Andrzejewska
Falcon Tekstylia spółka z ograniczoną odpowiedzialnością,"ul 3 Maja 18, 16-300 Augustów",wykonywanie zleceń na rachunek klientów,0000017565,1249138852,249297234,2018/10/12,DFI/641/2023,76061444202,Zofia,Kamila,Kucharska
Koral Motoryzacja Spółka z ograniczoną odpowiedzialnością,"ulica Kościuszki 35, 16-400 Suwałki",wykonywanie zleceń na rachunek klientów,0000017662,1249218048,259376457,28-02-2021,DFI/149/2023,64101414207,Barbara,Karolina,Kaczmarczyk
Pegaz Ubezpieczenia S.A.,"Piastowska 52, 48-300",przyjmowanie i przekazywanie zleceń,0000017759,1249297237,249455615,2022-27-08,DFI/897/2022,98021484202,Martyna,,Śliwińska
Wektor Spawalnictwo SA,"ul. Długa 69/53, 49-300 Brzeg",wykonywanie zleceń na rachunek klientów,0000017856,1249376422,249534800,20251104,DFI/936/2017,86061454204,Zofia,Kamila,Kowalczyk
Kormoran Ślusarstwo S. A.,"ul Rynek 86, 68-200 Żary",wykonywanie zleceń na rachunek klientów,0000017953,1249455618,249613994,04/07/2023,DFI/858/2019,74101424209,Barbara,Karolina,Grabowska
Jodełka Krawiectwo Spółka Akcyjna,"ulica Nieistniejąca 103, 99-999 Nibylandia",doradztwo inwestycyjne,0000018050,1249534803,249693183,2017/29/08,DFI/573/2018,62021494206,Martyna,,Rutkowska
Marmur Ochrona sp. z o.o.,"Armii Krajowej 120, 78-100 Kołobrzeg",doradztwo inwestycyjne,0000018147,1249613997,249772379,12-05-2018,DFI/932/2020,96061464206,Zofia,Kamila,Kołodziej
Krokus Catering sp z oo,"ul. Piłsudskiego 137/15, 73-110 Stargard",zarządzanie portfelami,0000018244,1249693186,249851564,2022-09-08,DFI/282/2020,84101434201,Barbara,Karolina,Nowicka
Beskid Księgowość sp. z o. o.,"154, 27-600 Sandomierz",zarządzanie portfelami,0000018341,1249772371,259930787,20200424,DFI/438/2018,72021404208,Martyna,,Kubiak
Jantar Budownictwo Sp. z o.o.,"ulica Sienkiewicza 171, 27-400 Ostrowiec Świętokrzyski",doradztwo inwestycyjne,0000018438,1249851567,250009941,18/05/2024,DFI/448/2020,60061474200,Zofia,Kamila,Gajewska
Oaza Transport SP Z O O,"Chmielna 8, 00-020 Warszawa",zarządzanie portfelami,000001853,1249930752,250089130,2017/07/02,DFI/797/2024,94101444203,Barbara,Karolina,Lisowska
Uran Spedycja spółka z ograniczoną odpowiedzialnością,"ul. Nowy Świat 25/67, 00-029 Warszawa",doradztwo inwestycyjne,0000018632,1250009942,250168326,24-01-2022,DFI/639/2025,82021414200,Martyna,,Wrona
Orzeł Logistyka Spółka z ograniczoną odpowiedzialnością,"ul os. Przyjaźń 42, 01-355 Warszawa",wykonywanie zleceń na rachunek klientów,0000018729,1250089131,250247511,2022-19-10,DFI/692/2019,70061484202,Zofia,Kamila,Czajkowska
Narew Handel S.A.,"ulica Jagiellońska 59, 05-120 Legionowo",doradztwo inwestycyjne,0000018826,1250168327,250326707,20190215,DFI/575/2025,04301454201,Barbara,Karolina,Kamińska
Granit Usługi SA,"Piłsudskiego 76, 05-270 Marki",doradztwo inwestycyjne,0000018923,1250247512,250405890,29/06/2023,DFI/293/2019,92021424202,Martyna,,Pawlak
Zorza Finanse S. A.,"ul. Andriollego 93/29, 05-400 Otwock",wykonywanie zleceń na rachunek klientów,0000019020,1250326708,260485119,2023/25/06,DFI/236/2026,80061494204,Zofia,Kamila,Górska
Kasprowy Doradztwo Spółka Akcyjna,"ul Żeromskiego 110, 26-600 Radom",przyjmowanie i przekazywanie zleceń,0000019117,1250405891,250564275,02-11-2022,DFI/556/2020,68101464200,Barbara,Karolina,Kaczmarek
Sudety Szkolenia sp. z o.o.,"ulica Tumska 127, 09-402 Płock",wykonywanie zleceń na rachunek klientów,0000019214,1250485080,250643460,2020-29-10,DFI/905/2025,02221434200,Martyna,,Sokołowska
Echo Media sp z oo,"Karmelicka 144, 31-128 Kraków",doradztwo inwestycyjne,0000019311,1250564276,250722656,20201005,DFI/797/2021,90061404206,Zofia,Kamila,Wilk
