name,nip,statusVat,regon,pesel,krs,residenceAddress,workingAddress,accountNumbers,hasVirtualAccounts,registrationLegalDate,removalDate
Helios Markets sp z oo,1244466646,Wykreślony,244625024,95081673986,0000011837,"ulica 3 Maja 95, 16-300 Augustów","ulica 3 Maja 95, 16-300 Augustów",54801573904874559167621771,False,2018-12-06,2026-01-23
Lumen Advisory sp. z o. o.,1244545831,Czynny,244783409,96091775372,0000011934,"Kościuszki 112, 16-400 Suwałki","Kościuszki 112, 16-400 Suwałki",51 8878 3262 2565 4199 9770 3038,False,2019-10-09,
Nova Data Sp. z o.o.,1244625027,Wykreślony,244783409,97101876722,0000012031,"ul. Piastowska 129/83, 48-300 Nysa","ul. Piastowska 129/83, 48-300 Nysa",20268512581285263255075493,False,2015-05-28,2025-03-23
Optima Trade SP Z O O,1244704212,Wykreślony,244862592,98111978118,0000012128,"ul Długa 146, 49-300 Brzeg","ul Długa 146, 49-300 Brzeg",55564099257571324034280987,False,2022-08-21,2021-11-25
Polaris Capital spółka z ograniczoną odpowiedzialnością,1244783401,Zwolniony,244941788,99122079465,0000012225,"163, 68-200 Żary","163, 68-200 Żary",42 2979 6720 4492 5204 8056 7267,True,2019-10-28,
Quantum Services Spółka z ograniczoną odpowiedzialnością,1244862595,Wykreślony,245020978,00212180853,0000012322,"Sikorskiego 180, 66-200 Świebodzin","Sikorskiego 180, 66-200 Świebodzin",70 8317 7767 8425 1573 1698 1874,True,2020-05-31,
Silesia Invest S.A.,1244941780,Wykreślony,245100163,01222282201,0000012419,"ul. Armii Krajowej 17/45, 78-100 Kołobrzeg","ul. Armii Krajowej 17/45, 78-100 Kołobrzeg",21746261007819245618174103,True,2020-08-25,2022-09-06
Vistula Fintech SA,1245020970,Wykreślony,245179354,02232383597,0000012516,"ul Piłsudskiego 34, 73-110 Stargard","ul Piłsudskiego 34, 73-110 Stargard",14 6606 1895 9317 5570 4410 4578,True,2021-02-25,
Astra Finance S. A.,1245100166,Czynny,245337735,03242484944,0000012613,"ulica Mickiewicza 51, 27-600 Sandomierz","ulica Mickiewicza 51, 27-600 Sandomierz",30372773525715980798468997,false,2022-03-06,2026-08-14
Baltic Med Supply Spółka Akcyjna,1245179357,Wykreślony,245337735,04252586330,0000012710,"Sienkiewicza 68, 27-400 Ostrowiec Świętokrzyski","Sienkiewicza 68, 27-400 Ostrowiec Świętokrzyski",15456931146578539020435018,true,2018-04-25,
Helios Markets sp. z o.o.,1245258542,Czynny,245416920,05262687688,0000012807,"ul. Marszałkowska 85/7, 00-590 Warszawa","ul. Marszałkowska 85/7, 00-590 Warszawa",91437447476601247086007833,true,2021-05-01,2020-11-30
Lumen Advisory sp z oo,1245337738,Zwolniony,245575305,60072789070,0000012904,"ul Krakowskie Przedmieście 102, 00-071 Warszawa","ul Krakowskie Przedmieście 102, 00-071 Warszawa",54 9883 7771 3450 1256 2738 7918,false,2020-10-15,
Nova Data sp. z o. o.,1245416923,Zwolniony,245575305,61082890420,0000013001,"ulica Floriańska 119, 31-019 Kraków","ulica Floriańska 119, 31-019 Kraków",29 8916 4101 7577 7271 2647 4293,false,2024-05-06,
Optima Trade Sp. z o.o.,1245496112,Zwolniony,245654499,62090191811,0000013098,"Długa 136, 31-147 Kraków","Długa 136, 31-147 Kraków",95 8947 4265 6102 6130 3151 8961,false,2019-06-16,
Polaris Capital SP Z O O,1245575308,Czynny,245733684,63100293163,0000013195,"ul. Piotrkowska 153/59, 90-102 Łódź","ul. Piotrkowska 153/59, 90-102 Łódź",59923000812225433070151415,false,2016-02-16,
Quantum Services spółka z ograniczoną odpowiedzialnością,1245654491,Czynny,245892069,64110394558,0000013292,90-402 Łódź,90-402 Łódź,10 2440 4077 5067 9038 8231 2594,true,2019-02-04,
Silesia Invest Spółka z ograniczoną odpowiedzialnością,1245733687,Zwolniony,245892069,65120495905,0000013389,"ulica Świdnicka 7, 50-066 Wrocław","ulica Świdnicka 7, 50-066 Wrocław",21 8746 8131 5486 1417 4017 4008,false,2015-10-08,
Vistula Fintech S.A.,1245812872,Wykreślony,245971254,66010597297,0000013486,"Legnicka 24, 54-203 Wrocław","Legnicka 24, 54-203 Wrocław",94 7459 9269 1672 5048 4661 4859,false,2023-08-09,
Astra Finance SA,1245892061,Wykreślony,246050444,67020698644,0000013583,"ul. Święty Marcin 41/21, 61-806 Poznań","ul. Święty Marcin 41/21, 61-806 Poznań",71444473207668291844378048,false,2022-01-12,
Baltic Med Supply S. A.,1245971257,Zwolniony,246129631,68030700033,0000013680,"ul Głogowska 58, 60-734 Poznań","ul Głogowska 58, 60-734 Poznań",70 8714 7566 4897 2872 7026 1540,true,2021-10-16,
Helios Markets Spółka Akcyjna,1246050447,Czynny,246208827,69040801381,0000013777,"ulica Długa 75, 80-831 Gdańsk","ulica Długa 75, 80-831 Gdańsk",34858008885082317317259888,true,2024-11-27,
Lumen Advisory sp. z o.o.,1246129634,Wykreślony,246288016,70050902775,0000013874,"Grunwaldzka 92, 80-236 Gdańsk","Grunwaldzka 92, 80-236 Gdańsk",46548207338005641810612693,true,2022-06-25,
Nova Data sp z oo,1246288019,Wykreślony,246367201,71061004122,0000013971,"ul. Jagiellońska 109/73, 70-435 Szczecin","ul. Jagiellońska 109/73, 70-435 Szczecin",78 4606 8060 9789 8394 5691 8365,true,2016-01-19,
Optima Trade sp. z o. o.,1246288019,Czynny,246446395,72071105517,0000014068,"os. Wyszyńskiego 126, 70-200 Szczecin","os. Wyszyńskiego 126, 70-200 Szczecin",97030725819184977066148249,false,2024-01-28,
Polaris Capital Sp. z o.o.,1246367204,Czynny,246525580,73081206865,0000014165,"ulica Mariacka 143, 40-014 Katowice","ulica Mariacka 143, 40-014 Katowice",27 4554 9969 7385 3861 3683 2045,true,2021-09-16,
Quantum Services SP Z O O,1246446398,Czynny,246604776,74091308251,0000014262,"Warszawska 160, 40-009 Katowice","Warszawska 160, 40-009 Katowice",81006821733438256973416968,true,2024-09-23,
Silesia Invest spółka z ograniczoną odpowiedzialnością,1246525583,Zwolniony,246683965,75101409601,0000014359,"ul. Krakowskie Przedmieście 177/35, 20-002 Lublin","ul. Krakowskie Przedmieście 177/35, 20-002 Lublin",16 3134 6852 4559 1522 9761 5603,true,2023-10-19,
Vistula Fintech Spółka z ograniczoną odpowiedzialnością,1246604779,Czynny,246763150,76111510990,0000014456,"ul Narutowicza 14, 20-004 Lublin","ul Narutowicza 14, 20-004 Lublin",97 5423 8671 5103 1508 1926 7229,false,2021-06-07,
Astra Finance S.A.,1246683968,Zwolniony,246842346,77121612348,0000014553,,"ulica Lipowa 31, 15-424 Białystok",27 2936 9454 9103 6617 1430 7111,true,2018-01-18,
Baltic Med Supply SA,1246763153,Czynny,246921531,78011713738,0000014650,"Sienkiewicza 48, 15-092 Białystok","Sienkiewicza 48, 15-092 Białystok",76904122239339540491286529,true,2015-11-25,
Helios Markets S. A.,1246842349,Czynny,247000721,79021815087,0000014747,"ul. Gdańska 65/87, 85-005 Bydgoszcz","ul. Gdańska 65/87, 85-005 Bydgoszcz",77269446914846797007477978,false,2022-12-29,2022-10-04
Lumen Advisory Spółka Akcyjna,1246921534,Wykreślony,247079912,80031916471,0000014844,"ul Dworcowa 82, 85-009 Bydgoszcz","ul Dworcowa 82, 85-009 Bydgoszcz",63635458054631552497336966,false,2022-04-09,2023-05-16
Nova Data sp. z o.o.,1247000724,Zwolniony,247159108,81042017827,0000014941,"ulica Szeroka 99, 87-100 Toruń","ulica Szeroka 99, 87-100 Toruń",46 1224 1724 1117 6438 5849 3886,true,2017-01-09,
Optima Trade sp z oo,1247079915,Czynny,247238291,82052119213,0000015038,"Chełmińska 116, 87-100 Toruń","Chełmińska 116, 87-100 Toruń",85644876491630629610254158,true,2017-08-02,2021-02-02
Polaris Capital sp. z o. o.,1247159100,Wykreślony,247317487,83062220564,0000015135,"ul. 3 Maja 133/49, 35-030 Rzeszów","ul. 3 Maja 133/49, 35-030 Rzeszów",37731377103089227957370236,false,2025-01-30,2024-04-25
Quantum Services Sp. z o.o.,1247238294,nCzny,247396676,84072321959,0000015232,"ul Piłsudskiego 150, 35-074 Rzeszów","ul Piłsudskiego 150, 35-074 Rzeszów",63023538723756451451936903,true,2018-09-03,2024-07-23
Silesia Invest SP Z O O,1247396679,Czynny,247475861,85082423307,0000015329,"ulica Sienkiewicza 167, 25-007 Kielce","ulica Sienkiewicza 167, 25-007 Kielce",99 3140 1147 8611 4622 9856 1126,true,2025-02-02,
Vistula Fintech spółka z ograniczoną odpowiedzialnością,1247396679,Czynny,247555057,96092524693,0000015426,"Warszawska 4, 25-512 Kielce","Warszawska 4, 25-512 Kielce",28165807526714661873696464,false,2019-12-09,2020-09-25
Astra Finance Spółka z ograniczoną odpowiedzialnością,1247475864,Czynny,247634242,87102626044,0000015523,"ul. Kościuszki 21/11, 10-504 Olsztyn","ul. Kościuszki 21/11, 10-504 Olsztyn",84 9348 8982 9929 9829 4052 8525,true,2024-08-14,
Baltic Med Supply S.A.,1247634245,Wykreślony,247713438,88112727439,0000015620,"ul Dąbrowszczaków 38, 10-540 Olsztyn","ul Dąbrowszczaków 38, 10-540 Olsztyn",88 3030 7630 1293 9321 3998 7119,false,2015-02-10,
Helios Markets SA,1247634245,Czynny,247792627,89122828787,0000015717,"ulica Krakowska 55, 45-018 Opole","ulica Krakowska 55, 45-018 Opole",70 4660 4949 2534 2742 7001 5211,false,2024-12-10,
Lumen Advisory S. A.,1247713430,Zwolniony,247871812,90010130176,0000015814,"Ozimska 72, 45-057 Opole","Ozimska 72, 45-057 Opole",91 3317 5977 2990 1247 9358 3521,false,2020-02-28,
Nova Data Spółka Akcyjna,1247871815,Wykreślony,247951008,91020231523,0000015911,"ul. Bohaterów Westerplatte 89/63, 65-034 Zielona Góra","ul. Bohaterów Westerplatte 89/63, 65-034 Zielona Góra",89 6935 3198 8557 1060 8802 8181,false,2025-11-17,
Optima Trade sp. z o.o.,1247871815,Wykreślony,248030196,92030332918,0000016008,"ul Kupiecka 106, 65-058 Zielona Góra","ul Kupiecka 106, 65-058 Zielona Góra",40949677253384186815603886,true,2017-11-23,
Polaris Capital sp z oo,1247951000,Zwolniony,248109383,93040434267,0000016105,"ulica Świętojańska 123, 81-372 Gdynia","ulica Świętojańska 123, 81-372 Gdynia",17 7492 7631 8096 4536 9267 3320,true,2021-03-22,
Quantum Services sp. z o. o.,1248030199,Wykreślony,248188572,94050535652,0000016202,"10 Lutego 140, 81-364 Gdynia","10 Lutego 140, 81-364 Gdynia",23 4544 5119 3756 9945 5150 2604,true,2023-11-09,
Silesia Invest Sp. z o.o.,1248109386,Czynny,248267768,95060637000,0000016299,"ul. Bolesława Prusa 157/25, 05-800 Pruszków","ul. Bolesława Prusa 157/25, 05-800 Pruszków",95524946706890796384992097,false,2016-07-09,2025-01-21
Vistula Fintech SP Z O O,1248188575,Czynny,248346953,96070738396,0000016396,"ul Kościuszki 174, 05-500 Piaseczno","ul Kościuszki 174, 05-500 Piaseczno",32 5350 6628 8782 5290 5454 1986,true,2023-11-26,
Astra Finance spółka z ograniczoną odpowiedzialnością,1248267760,Czynny,248426149,97080839743,0000016493,"ulica Sienkiewicza 11, 32-020 Wieliczka","ulica Sienkiewicza 11, 32-020 Wieliczka",77 6650 5390 3475 1032 8684 7919,true,2025-06-03,
Baltic Med Supply Spółka z ograniczoną odpowiedzialnością,2248346956,Czynny,248505334,98090941132,0000016590,"Dąbrowskiego 28, 32-600 Oświęcim","Dąbrowskiego 28, 32-600 Oświęcim",33733514775306668188099454,false,2023-06-03,2026-08-09
Helios Markets S.A.,1248426141,Wykreślony,248584523,99101042482,0000016687,"ul. Rynek 45/77, 38-400 Krosno","ul. Rynek 45/77, 38-400 Krosno",34 3394 3451 2120 2292 7189 9293,false,2020-01-22,
Lumen Advisory SA,1248505337,Wykreślony,248663719,00311143872,0000016784,"ul Mickiewicza 62, 39-300 Mielec","ul Mickiewicza 62, 39-300 Mielec",81839212909746117654642674,false,2019-05-29,2021-08-08
Nova Data S. A.,1248584526,Wykreślony,248742904,01321245220,0000016881,"os. Długa 79, 58-100 Świdnica","os. Długa 79, 58-100 Świdnica",27794641493748313892095714,true,2016-09-21,
Optima Trade Spółka Akcyjna,1248663711,Zwolniony,248822098,02211346610,0000016978,"96, 57-300 Kłodzko","96, 57-300 Kłodzko",23 2755 8375 6263 2275 8105 9241,true,2018-11-27,
Polaris Capital sp. z o.o.,1248742907,Wykreślony,248901283,03221447968,0000017075,"ul. Chrobrego 113/39, 62-200 Gniezno","ul. Chrobrego 113/39, 62-200 Gniezno",92 5855 9519 2519 5275 8841 4653,true,2023-07-26,
Quantum Services sp z oo,1248822090,Czynny,248980472,04231549354,0000017172,"ul Słowiańska 130, 64-100 Leszno","ul Słowiańska 130, 64-100 Leszno",50832067304508470543166766,true,2018-10-26,2022-10-06
Silesia Invest sp. z o. o.,1248901286,Czynny,249059664,05241650704,0000017269,"ulica Gdańska 147, 83-110 Tczew","ulica Gdańska 147, 83-110 Tczew",25690959364937422179528006,false,2020-10-23,
Vistula Fintech Sp. z o.o.,1248980475,Czynny,249218045,60051752097,0000017366,"Sobieskiego 164, 84-200 Wejherowo","Sobieskiego 164, 84-200 Wejherowo",70 2707 9057 1283 9619 9319 1602,true,2016-12-25,
Astra Finance SP Z O O,1249059667,Czynny,249218045,61061853444,0000017463,"ul. Głęboka 1/1, 43-400 Cieszyn","ul. Głęboka 1/1, 43-400 Cieszyn",38340352807333614111711356,true,2022-07-29,2025-10-02
Baltic Med Supply spółka z ograniczoną odpowiedzialnością,1249138852,Zwolniony,249297234,62071954839,0000017560,"ul Małachowskiego 18, 42-500 Będzin","ul Małachowskiego 18, 42-500 Będzin",42 2189 8923 7363 7623 1822 7982,false,2019-05-08,
Helios Markets Spółka z ograniczoną odpowiedzialnością,1249218048,Wykreślony,249455615,63082056187,0000017657,"ulica Królowej Jadwigi 35, 88-100 Inowrocław","ulica Królowej Jadwigi 35, 88-100 Inowrocław",98 7975 5149 5545 3612 2183 7232,false,2017-04-29,
Lumen Advisory S.A.,1249297237,Zwolniony,249455615,64092157572,0000017754,"Wybickiego 52, 86-300","Wybickiego 52, 86-300",37 9781 3645 1298 9500 8592 1449,true,2016-10-11,
Nova Data SA,1249376422,Wykreślony,249534800,65102258922,0000017851,"ul. Czarnieckiego 69/53, 14-100 Ostróda","ul. Czarnieckiego 69/53, 14-100 Ostróda",20319205223165700913814020,true,2025-08-28,2025-07-07
Optima Trade S. A.,1249455618,Zwolniony,249613994,66112360311,0000017948,"ul Warszawska 86, 11-500 Giżycko","ul Warszawska 86, 11-500 Giżycko",88 8792 7984 6648 1982 2137 3187,false,2025-09-12,
Polaris Capital Spółka Akcyjna,1249534803,Czynny,249693183,67122461669,0000018045,"ulica Nieistniejąca 103, 99-999 Nibylandia","ulica Nieistniejąca 103, 99-999 Nibylandia",74505395028316768829288521,true,2019-08-26,2021-01-31
Quantum Services sp. z o.o.,1249613997,Czynny,249772379,68012563050,0000018142,"Staszica 120, 22-400 Zamość","Staszica 120, 22-400 Zamość",51 8302 7499 3548 9290 6111 9859,false,2022-08-03,
Silesia Invest sp z oo,1249693186,Czynny,249851564,69022664407,0000018239,"ul. 3 Maja 137/15, 16-300 Augustów","ul. 3 Maja 137/15, 16-300 Augustów",28256876783997790144654289,false,2017-05-24,
Vistula Fintech sp. z o. o.,1249772371,Wykreślony,350009941,70032765792,0000018336,"ul Kościuszki 154, 16-400 Suwałki","ul Kościuszki 154, 16-400 Suwałki",35 4169 5949 5009 9379 8565 2720,true,2016-10-02,
Astra Finance Sp. z o.o.,1249851567,Wykreślony,250009941,71042867140,0000018433,"ulica Piastowska 171, 48-300 Nysa","ulica Piastowska 171, 48-300 Nysa",61 8132 5431 7085 1509 3842 5237,true,2017-08-08,
Baltic Med Supply SP Z O O,1249930752,Zwolniony,250089130,72050168531,0000018530,"Długa 8, 49-300 Brzeg","Długa 8, 49-300 Brzeg",92 9302 7292 5097 3611 7958 2679,false,2017-02-25,
Helios Markets spółka z ograniczoną odpowiedzialnością,1250009942,Czynny,250168326,73060269889,0000018627,"ul. Rynek 25/67, 68-200 Żary","ul. Rynek 25/67, 68-200 Żary",83735290138916512856444647,true,2020-10-10,
Lumen Advisory Spółka z ograniczoną odpowiedzialnością,1250089131,Zwolniony,250247511,74070371278,0000018724,"ul Sikorskiego 42, 66-200 Świebodzin","ul Sikorskiego 42, 66-200 Świebodzin",30 6745 9696 2245 5637 7554 9775,true,2020-03-18,
Nova Data S.A.,1250168327,Czynny,250326707,75080472625,0000018821,"ulica Armii Krajowej 59, 78-100 Kołobrzeg","ulica Armii Krajowej 59, 78-100 Kołobrzeg",98 8610 8425 2242 3722 7364 8829,false,2017-03-09,
Optima Trade SA,1250247512,Wykreślony,250405890,76090574011,0000018918,"Piłsudskiego 76, 73-110 Stargard","Piłsudskiego 76, 73-110 Stargard",69 8589 1077 9060 8315 9937 7818,false,2025-11-17,
Polaris Capital S. A.,1250326708,Zwolniony,250564275,77100675362,0000019015,"93/29, 27-600 Sandomierz","93/29, 27-600 Sandomierz",59 7432 3740 7678 5764 1651 6398,true,2025-07-30,
Quantum Services Spółka Akcyjna,1250405891,Zwolniony,250564275,78110776757,0000019112,"ul Sienkiewicza 110, 27-400 Ostrowiec Świętokrzyski","ul Sienkiewicza 110, 27-400 Ostrowiec Świętokrzyski",80 6870 4547 4782 8684 6272 2833,false,2021-07-20,
Silesia Invest sp. z o.o.,1250485080,Czynny,250643460,79120878105,0000019209,"ulica Marszałkowska 127, 00-590 Warszawa","ulica Marszałkowska 127, 00-590 Warszawa",26390738853874611842602361,false,2023-10-04,
Vistula Fintech sp z oo,1250564276,Wykreślony,250722656,80010979495,0000019306,"Krakowskie Przedmieście 144, 00-071 Warszawa","Krakowskie Przedmieście 144, 00-071 Warszawa",18023522000679527742976253,true,2020-11-19,
