firma.id,firma.nazwa,firma.skroconaNazwa,firma.wlasciciel.imie,firma.wlasciciel.drugieImie,firma.wlasciciel.nazwisko,firma.wlasciciel.pesel,firma.nip,firma.regon,firma.dataRozpoczeciaDzialalnosci,firma.dataZawieszeniaDzialalnosci,firma.dataWznowieniaDzialalnosci,firma.przewazajacePKD,firma.adresDzialalnosci,firma.adresKorespondencyjny,firma.telefon,firma.email,firma.www
FIRMAID-00075,Zielony Uran SA,Zielony Uran,Paulina,Iwona,Lisowska,88042808226,1240665521,,2017-09-03,,2022-08-08,66.22.Z,"ulica Karmelicka 179, 31-128 Kraków","ulica Karmelicka 179, 31-128 Kraków",782 122 817,lisowska.paulina@wp.pl,https://www.zielony-uran-group.local
FIRMAID-00076,Zielony Wektor S. A.,Zielony Wektor,Mateusz,,Słowik,89050709619,1240744717,,2021-07-08,2025-11-14,,70.22.Z,"os. Na Stoku 16, 31-704 Kraków","os. Na Stoku 16, 31-704 Kraków",48-604-204-328,mateuszslowik@onet.pl,https://www.zielony-wektor.pl
FIRMAID-00077,Zielony Zefir Spółka Akcyjna,Zielony Zefir,Elżbieta,Renata,Kopeć,90061410960,1240823902,,2017-10-02,,2026-06-29,66.22.Z,"ul. Krupówki 33/89, 34-500 Zakopane","ul. Krupówki 33/89, 34-500 Zakopane",(48) 628327986,elzbieta_kopec@interia.pl,https://zielony-zefir.com.pl
FIRMAID-00078,Zielony Żubr sp. z o.o.,Zielony Żubr,Dawid,Maciej,Czajka,91072112357,1240903096,,2011-11-19,2021-07-29,2026-04-22,43.22.Z,"50, 34-600 Mordarka","50, 34-600 Mordarka",552703345,dawid.czajka89@o2.pl,https://www.zielony-zubr-group.eu
FIRMAID-00079,Zielony Sokół sp z oo,Zielony Sokół,Dorota,,Matusiak,92082813706,1240982285,,2023-12-04,2021-09-30,11/06/2023,66.22.Z,"ulica Galicyjska 67, 32-087 Zielonki","ulica Galicyjska 67, 32-087 Zielonki",+48 616 863 799,dorota.matusiak@proton.me,
FIRMAID-00080,Zielony Orzeł sp. z o. o.,Zielony Orzeł,Dariusz,Zbigniew,Gajda,93090715091,1241061475,,2018-08-16,,,70.22.Z,"84, 32-003 Podłęże","84, 32-003 Podłęże",682 506 159,d.gajda@yahoo.com,https://www.zielony-orzel-group.pl
FIRMAID-00081,mBank,mBank,Beata,Patrycja,Klimek-Bednarek,94101416442,1241140660,,2011-03-26,2024-12-03,11-05-2024,64.19.Z,"ul. Wałowa 101/51, 33-100 Tarnów","ul. Wałowa 101/51, 33-100 Tarnów",+48 620 744 475,klimek.bednarek.beata@gmail.com,https://www.mbank.com.pl
FIRMAID-00082,Zielony Barycz SP Z O O,Zielony Barycz,Sławomir,,Madej,95112117838,1241219858,,2013-07-26,,2022-08-16,43.22.Z,"ul Narutowicza 118, 90-135 Łódź","ul Narutowicza 118, 90-135 Łódź",+48 613 660 826,slawomirmadej@outlook.com,https://zielony-barycz.eu
FIRMAID-00083,Zielony Noteć spółka z ograniczoną odpowiedzialnością,Zielony Noteć,Urszula,Wiktoria,Krupa,96122819189,1241299047,,2014-05-08,2025-08-28,2025-03-04,64.19.Z,"ulica os. Retkinia 135, 94-004 Łódź","ulica os. Retkinia 135, 94-004 Łódź",787918944,urszula_krupa@wp.pl,https://www.zielony-notec-group.local
FIRMAID-00084,Zielony Pilica Spółka z ograniczoną odpowiedzialnością,Zielony Pilica,Mariusz,Jacek,Kaczmarczyk,97010720570,1241378232,,2012-03-02,2022-05-21,2024-02-24,64.19.Z,"Zamkowa 152, 95-200","Zamkowa 152, 95-200",676 236 446,mariusz.kaczmarczyk95@onet.pl,https://www.zielony-pilica-group.pl
FIRMAID-00085,Zielony Narew S.A.,Zielony Narew,Izabela,,Wrona,98021421928,1241457428,,2017-05-18,2020-08-20,2022-05-31,62.01.Z,"ul. Długa 169/13, 95-100 Zgierz","ul. Długa 169/13, 95-100 Zgierz",48-561-380-721,izabela.wrona@interia.pl,
FIRMAID-00086,Zielony Jodełka SA,Zielony Jodełka,Henryk,Przemysław,Wasilewski,99032123315,1241536613,,2014-09-20,,,64.19.Z,"ul Rynek 6, 50-101 Wrocław","ul Rynek 6, 50-101 Wrocław",(48) 794655769,h.wasilewski@o2.pl,https://www.zielony-jodelka.eu
FIRMAID-00087,Zielony Kaktus S. A.,Zielony Kaktus,Weronika,Kinga,Kalinowska,00242824660,1241615809,,2021-09-05,,2026-04-03,62.01.Z,"ulica Jedności Narodowej 23, 50-260 Wrocław","ulica Jedności Narodowej 23, 50-260 Wrocław",(48) 509423758,kalinowska.weronika@proton.me,https://zielony-kaktus.local
FIRMAID-00088,Zielony Szmaragd Spółka Akcyjna,Zielony Szmaragd,Stanisław,,Zarychta,01250726054,1241694996,,2025-03-20,,,62.01.Z,"os. Konstytucji 3 Maja 40, 58-540 Karpacz","os. Konstytucji 3 Maja 40, 58-540 Karpacz",(48) 596260155,stanislawzarychta@yahoo.com,https://www.zielony-szmaragd-group.pl
FIRMAID-00089,Zielony Topaz sp. z o.o.,Zielony Topaz,Zofia,Kamila,Przybylska,02261427402,,,2025-06-14,,2021-02-13,43.22.Z,"ul. Odrodzenia 57/65, 59-300 Lubin","ul. Odrodzenia 57/65, 59-300 Lubin",698227880,zofia_przybylska@gmail.com,https://www.zielony-topaz-group.com.pl
FIRMAID-00090,Zielony Granit sp z oo,Zielony Granit,Bartłomiej,Daniel,Michalak,03272128799,1241853377,,2010-05-25,,2022-05-13,62.01.Z,"ul Słowackiego 74, 58-300 Wałbrzych","ul Słowackiego 74, 58-300 Wałbrzych",+48 556 444 268,bartlomiej.michalak72@outlook.com,https://www.zielony-granit-group.eu
FIRMAID-00091,Zielony Marmur sp. z o. o.,Zielony Marmur,Olga,,Szatkowska,04282830142,1241932562,,2010-02-16,,2026-12-26,66.22.Z,"ulica Półwiejska 91, 61-888 Poznań","ulica Półwiejska 91, 61-888 Poznań",+48 727 934 295,olga.szatkowska@wp.pl,
FIRMAID-00092,Zielony Syrena Sp. z o.o.,Zielony Syrena,Damian,Waldemar,Bednarek,05290731535,1242011752,,2010-04-12,,,70.22.Z,"os. Bolesława Chrobrego 108, 60-681 Poznań","os. Bolesława Chrobrego 108, 60-681 Poznań",699 674 865,d.bednarek@onet.pl,https://zielony-syrena.pl
FIRMAID-00093,Zielony Zodiak SP Z O O,Zielony Zodiak,Ewelina,Danuta,Podgórska,60101432883,1242090941,,2022-04-06,01/12/2022,,43.22.Z,"ul. Główny Rynek 125/27, 62-800 Kalisz","ul. Główny Rynek 125/27, 62-800 Kalisz",667 173 073,podgorska.ewelina@interia.pl,https://www.zielony-zodiak-group.com.pl
FIRMAID-00094,Zielony Olimp spółka z ograniczoną odpowiedzialnością,Zielony Olimp,Bartosz,,Śliwiński,61112134270,1242170137,,2023-01-10,,,62.01.Z,"ul Kaliska 142, 63-400 Ostrów Wielkopolski","ul Kaliska 142, 63-400 Ostrów Wielkopolski",48-517-946-798,bartoszsliwinski@o2.pl,https://www.zielony-olimp-group.eu
FIRMAID-00095,Zielony Zorza Spółka z ograniczoną odpowiedzialnością,Zielony Zorza,Sylwia,Aneta,Czajkowska,62122835629,1242249324,,2022-03-23,2024-05-17,,64.19.Z,"ulica Ogarna 159, 80-826 Gdańsk","ulica Ogarna 159, 80-826 Gdańsk",+48 787 763 335,sylwia_czajkowska@proton.me,https://www.zielony-zorza-group.local
FIRMAID-00096,Zielony Krokus S.A.,Zielony Krokus,Leszek,Kacper,Biernat,63010737018,1252328545,,2017-12-31,2020-05-22,,64.19.Z,"os. Jasień 176, 80-180 Gdańsk","os. Jasień 176, 80-180 Gdańsk",516 317 653,leszek.biernat78@yahoo.com,https://www.zielony-krokus.pl
FIRMAID-00097,Zielony Narcyz SA,Zielony Narcyz,Grażyna,,Panek,64021438367,1242407705,,2015-03-10,,2025-09-16,62.01.Z,"ul. Bohaterów Monte Cassino 13/79, 81-759 Sopot","ul. Bohaterów Monte Cassino 13/79, 81-759 Sopot",511528242,grazyna.panek@gmail.com,
FIRMAID-00098,Zielony Giewont S. A.,Zielony Giewont,Cezary,Szymon,Prus,65032139753,1242486892,,2020-10-14,2021-10-11,20220109,66.22.Z,"30, 80-209 Chwaszczyno","30, 80-209 Chwaszczyno",737 928 423,c.prus@outlook.com,https://www.zielony-giewont-group.eu
FIRMAID-00099,Zielony Rysy Spółka Akcyjna,Zielony Rysy,Bożena,Oliwia,Janik,66042841106,1242566088,,2011-04-22,,,62.01.Z,"ulica 3 Maja 47, 40-096 Katowice","ulica 3 Maja 47, 40-096 Katowice",597 264 419,janik.bozena@wp.pl,https://www.zielony-rysy-group.local
FIRMAID-00100,Zielony Kasprowy sp. z o.o.,Zielony Kasprowy,Filip,,Kowalski,67050742490,1242645273,,2010-06-18,,,43.22.Z,"os. Paderewskiego 64, 40-282 Katowice","os. Paderewskiego 64, 40-282 Katowice",+48 786 665 136,filipkowalski@gmai1.com,https://www.zielony-kasprowy-group.pl
FIRMAID-00101,PPHU Zielony Beskid,PPHU Zielony Beskid,Zuzanna,Emilia,Nowacka,68061443848,1242724469,,2019-07-01,,,70.22.Z,"ul. Zwycięstwa 81/41, 44-100 Gliwice","ul. Zwycięstwa 81/41, 44-100 Gliwice",+48 777 535 026,zuzanna_nowacka@interia.pl,https://www.zielony-beskid.com.pl
FIRMAID-00102,Zielony Bieszczady sp. z o. o.,Zielony Bieszczady,Mikołaj,Ignacy,Wiśniewski,69072145235,1242803654,,2025-06-03,2023-01-16,,64.19.Z,ul Bocheńskiego 98,ul Bocheńskiego 98,795 672 152,mikolaj.wisniewski84@o2.pl,https://zielony-bieszczady.eu
FIRMAID-00103,Zielony Karpaty Sp. z o.o.,Zielony Karpaty,Lena,,Wójcik,70082846584,1242882843,,2021-09-04,,,70.22.Z,"ulica Najświętszej Maryi Panny 115, 42-200 Częstochowa","ulica Najświętszej Maryi Panny 115, 42-200 Częstochowa",+48 624 420 080,lena.wojcik@proton.me,
FIRMAID-00104,Zielony Bałtyk SP Z O O,Zielony Bałtyk,Antoni,Leon,Kowalczyk,71090747977,1242962039,,2013-07-17,2023-06-27,,62.01.Z,"11 Listopada 132, 43-300 Bielsko-Biała","11 Listopada 132, 43-300 Bielsko-Biała",48-627-192-066,a.kowalczyk@yahoo.com,https://www.zielony-baltyk-group.pl
FIRMAID-00105,Zielony Sudety spółka z ograniczoną odpowiedzialnością,Zielony Sudety,Hanna,Dominika,Kamińska,72101449329,1243041229,,2019-04-19,,,66.22.Z,"149/3, 36-047 Niechobrz","149/3, 36-047 Niechobrz",763401548,kaminska.hanna@gmail.com,https://www.zielony-sudety-group.com.pl
FIRMAID-00106,Niebieski Amber Spółka z ograniczoną odpowiedzialnością,Niebieski Amber,Franciszek,,Lewandowski,73112150718,1243120414,,2025-03-31,,,62.01.Z,"ul Franciszkańska 166, 37-700 Przemyśl","ul Franciszkańska 166, 37-700 Przemyśl",564 342 000,franciszeklewandowski@outlook.com,https://www.niebieski-amber.eu
FIRMAID-00107,Niebieski Bizon S.A.,Niebieski Bizon,Amelia,Jagoda,Zielińska,74122852069,1243199605,,2010-05-19,20260220,,64.19.Z,"ulica Kościuszki 3, 38-500 Sanok","ulica Kościuszki 3, 38-500 Sanok",626571879,amelia_zielinska@wp.pl,https://niebieski-bizon.local
FIRMAID-00108,Niebieski Caynon SA,Niebieski Canyon,Nikodem,Jerzy,Szymański,75010753457,1243278799,,2021-02-17,2022-02-13,20261102,43.22.Z,"Suraska 20, 15-422 Białystok","Suraska 20, 15-422 Białystok",598 810 563,nikodem.szymanski90@onet.pl,https://www.niebieski-canyon-group.pl
FIRMAID-00109,Niebieski Delfin S. A.,Niebieski Delfin,Martyna,,Dąbrowska,76021454805,1243357984,,2020-10-29,,,70.22.Z,"37/55, 16-030 Ogrodniczki","37/55, 16-030 Ogrodniczki",536201309,martyna.dabrowska@interia.pl,
FIRMAID-00110,Niebieski Echo Spółka Akcyjna,Niebieski Echo,Miłosz,Marian,Mazur,77032156193,1253437207,,2013-09-05,2021-04-30,2021-12-30,62.01.Z,"ul 3 Maja 54, 17-200 Hajnówka","ul 3 Maja 54, 17-200 Hajnówka",+48 546 412 435,m.mazur@o2.pl,https://www.niebieski-echo-group.eu
FIRMAID-00111,Niebieski Falcon sp. z o.o.,Niebieski Falcon,Agata,Irena,Krawczyk,78042857542,1243516365,,2010-07-22,2023-05-08,,70.22.Z,"ulica os. LSM 71, 20-400 Lublin","ulica os. LSM 71, 20-400 Lublin",48-766-296-903,krawczyk.agata@proton.me,https://www.niebieski-falcon.local
FIRMAID-00112,Niebieski Gryf sp z oo,Niebieski Gryf,Tadeusz,,Woźniak,79050758935,1243595554,,2011-06-10,,,62.01.Z,"88, 24-120 Mięćmierz","88, 24-120 Mięćmierz",(48) 556760835,tadeuszwozniak@yahoo.com,https://niebieski-gryf.pl
FIRMAID-00113,Niebieski Horyzont sp. z o. o.,Niebieski Horyzont,Helena,Izabela,Jankowska,80061460287,1253674775,,2014-01-27,2025-12-28,2021-01-21,64.19.Z,"ul. Brzeska 105/17, 21-500 Biała Podlaska","ul. Brzeska 105/17, 21-500 Biała Podlaska",48-583-409-310,helena_jankowska@gmail.com,https://www.niebieski-horyzont-group.com.pl
FIRMAID-00114,Niebieski Ikar Sp. z o.o.,Niebieski Ikar,Stefan,Mirosław,Grabowski,81072161673,1243753935,,2018-03-24,,2023-08-13,66.22.Z,"ul Rynek Staromiejski 122, 87-100 Toruń","ul Rynek Staromiejski 122, 87-100 Toruń",(48) 574365711,stefan.grabowski96@outlook.com,https://www.niebieski-ikar-group.eu
FIRMAID-00115,Niebieski Jantar SP Z O O,Niebieski Jantar,Jadwiga,,Pawlak,82082863023,1243833120,,2015-01-27,2023-06-19,2023-01-02,43.22.Z,"ulica Mostowa 139, 85-110 Bydgoszcz","ulica Mostowa 139, 85-110 Bydgoszcz",(48) 505840739,jadwiga.pawlak@wp.pl,
FIRMAID-00116,Niebieski Koral spółka z ograniczoną odpowiedzialnością,Niebieski Koral,Józef,Piotr,Michalski,93090764416,1243912316,,2021-05-03,2021-07-20,2024-02-15,43.22.Z,"Stare Miasto 156, 10-026 Olsztyn","Stare Miasto 156, 10-026 Olsztyn",48-510-267-498,j.michalski@onet.pl,https://www.niebieski-koral.pl
FIRMAID-00117,Niebieski Lotos Spółka z ograniczoną odpowiedzialnością,Niebieski Lotos,Monika,Maria,Król,84101465768,1243991505,,2024-09-15,2020-01-19,,70.22.Z,"os. Warszawska 173/69, 11-700 Mrągowo","os. Warszawska 173/69, 11-700 Mrągowo",(48) 699883037,krol.monika@interia.pl,https://niebieski-lotos.com.pl
FIRMAID-00118,Niebieski Magnolia S.A.,Niebieski Magnolia,Edward,,Wieczorek,85112167155,1244070693,,2024-10-14,13/01/2025,,62.01.Z,"ul Wojska Polskiego 10, 70-470 Szczecin","ul Wojska Polskiego 10, 70-470 Szczecin",+48 665 497 640,edwardwieczorek@o2.pl,https://www.niebieski-magnolia-group.eu
FIRMAID-00119,Niebieski Neon SA,Niebieski Neon,Sabina,Joanna,Jabłońska,86122868504,1244149880,,2010-07-07,,2025-01-09,66.22.Z,"ulica Monte Cassino 27, 72-600 Świnoujście","ulica Monte Cassino 27, 72-600 Świnoujście",(48) 677993343,sabina_jablonska@proton.me,https://www.niebieski-neon-group.local
FIRMAID-00120,Niebieski Oaza S. A.,Niebieski Oaza,Arkadiusz,Paweł,Witkowski,87010769893,1244229076,,2010-04-26,,,62.01.Z,"Rynek 44, Opole","Rynek 44, Opole",675662303,arkadiusz.witkowski73@yahoo.com,https://www.niebieski-oaza-group.pl
FIRMAID-00121,X - Twitter,X - Twitter,Anna,,Walczak-Czarnecka,88021471245,1244308261,,2024-10-22,2024-10-31,2024-07-22,62.01.Z,"ul. Byczyńska 61/31, 46-200 Kluczbork","ul. Byczyńska 61/31, 46-200 Kluczbork",48-730-542-284,anna.walczak.czarnecka@gmail.com,
FIRMAID-00122,Niebieski Rubin sp. z o.o.,Niebieski Rubin,Tomasz,Robert,Stępień,89032172631,1244387450,,2014-08-16,,2025-05-31,62.01.Z,"ul Chrobrego 78, 66-400 Gorzów Wielkopolski","ul Chrobrego 78, 66-400 Gorzów Wielkopolski",+48 604 486 823,t.stepien@outlook.com,https://niebieski-rubin.eu
FIRMAID-00123,Niebieski Szafir sp z oo,Niebieski Szafir,Katarzyna,Agnieszka,Baran,90042873980,1244466646,,2019-04-22,2024-05-02,2025-04-17,62.01.Z,"ulica 30 Stycznia 95, 66-300 Międzyrzecz","ulica 30 Stycznia 95, 66-300 Międzyrzecz",48-619-976-718,baran.katarzyna@wp.pl,https://www.niebieski-szafir-group.local
FIRMAID-00124,Niebieski Tytan sp. z o. o.,Niebieski Tytan,Krzysztof,,Rutkowski,91050775374,1244545831,,2021-09-30,,2023-03-22,64.19.Z,"Paderewskiego 112, 25-004 Kielce","Paderewskiego 112, 25-004 Kielce",572 597 286,krzysztofrutkowski@onet.pl,https://www.niebieski-tytan-group.pl
FIRMAID-00125,Niebieski Uran Sp. z o.o.,Niebieski Uran,Ewa,Justyna,Górska,92061476722,1244625027,,2024-02-20,,2026-12-31,70.22.Z,"ul. 1 Maja 129/83, 28-100 Busko-Zdrój","ul. 1 Maja 129/83, 28-100 Busko-Zdrój",615940598,ewa_gorska@interia.pl,https://www.niebieski-uran-group.com.pl
FIRMAID-00126,Niebieski Wektor SP Z O O,Niebieski Wektor,Adam,Jan,Sikora,93072178119,1244704212,,2016-07-29,2025-08-11,,62.01.Z,"ul Marszałkowska 146, 00-590 Warszawa","ul Marszałkowska 146, 00-590 Warszawa",545596668,adam.sikora79@o2.pl,https://www.niebieski-wektor.eu
FIRMAID-00127,Niebieski Zefir spółka z ograniczoną odpowiedzialnością,Niebieski Zefir,Monika,,Ostrowska,94082879469,1244783401,,2019-05-26,,2021-01-23,70.22.Z,"ulica Krakowskie Przedmieście 163, 00-071 Warszawa","ulica Krakowskie Przedmieście 163, 00-071 Warszawa",612 435 642,monika.ostrowska@proton.me,
FIRMAID-00128,Niebieski Żubr Spółka z ograniczoną odpowiedzialnością,Niebieski Żubr,Marek,Marcin,Tomaszewski,95090780855,2244862595,,2013-03-11,,,43.22.Z,"Floriańska 180, 31-019 Kraków","Floriańska 180, 31-019 Kraków",48-764-104-893,m.tomaszewski@yahoo.com,https://www.niebieski-zubr-group.pl
FIRMAID-00129,Niebieski Sokół S.A.,Niebieski Sokół,Barbara,Karolina,Zając,96101482207,1244941780,,2017-11-20,,2024-04-28,43.22.Z,"ul. Długa 17/45, 31-147 Kraków","ul. Długa 17/45, 31-147 Kraków",48-545-556-356,zajac.barbara@gmail.com,https://www.niebieski-sokol-group.com.pl
FIRMAID-00130,Niebieski Orzeł SA,Niebieski Orzeł,Rafał,,Pietrzak,97112183594,1245020970,,2021-09-25,,,43.22.Z,"ul Piotrkowska 34, 90-102 Łódź","ul Piotrkowska 34, 90-102 Łódź",(48) 682130059,rafalpietrzak@outlook.com,https://www.niebieski-orzel-group.eu
FIRMAID-00131,Niebieski Kormoran S. A.,Niebieski Kormoran,Aleksandra,Małgorzata,Wójcicka,98122884943,1245100166,,2025-01-06,,2023-10-15,70.22.Z,"ulica Zachodnia 51, 90-402 Łódź","ulica Zachodnia 51, 90-402 Łódź",48-627-969-895,aleksandra_wojcicka@wp.pl,https://www.niebieski-kormoran.local
FIRMAID-00132,Niebieski Barycz Spółka Akcyjna,Niebieski Barycz,Andrzej,Jakub,Czarnecki,99010786332,1245179357,,2018-05-02,2025-06-21,2021-06-22,62.01.Z,"Świdnicka 68, 50-066 Wrocław","Świdnicka 68, 50-066 Wrocław",780 302 450,andrzej.czarnecki85onet.pl,https://niebieski-barycz.pl
FIRMAID-00133,Niebieski Noteć sp. z o.o.,Niebieski Noteć,Marta,,Lis,00221487686,1245258542,,2010-12-12,2022-09-26,2025-08-16,66.22.Z,"ul. Legnicka 85/7, 54-203 Wrocław","ul. Legnicka 85/7, 54-203 Wrocław",653 611 016,marta.lis@interia.pl,
FIRMAID-00134,Niebieski Pilica sp z oo,Niebieski Pilica,Łukasz,Artur,Kołodziej,01232189073,1245337738,,2024-06-07,2024-12-11,,62.01.Z,"ul Święty Marcin 102, 61-806 Poznań","ul Święty Marcin 102, 61-806 Poznań",+48 578 762 425,l.kolodziej@o2.pl,https://www.niebieski-pilica-group.eu
FIRMAID-00135,Niebieski Narew sp. z o. o.,Niebieski Narew,Paulina,Iwona,Kaczmarek,02242890425,1245416923,,2013-04-27,2021-06-09,2022-12-15,43.22.Z,"ulica Głogowska 119, 60-734 Poznań","ulica Głogowska 119, 60-734 Poznań",+48 784 488 352,kaczmarek.paulina@proton.me,https://www.niebieski-narew-group.local
FIRMAID-00136,Niebieski Jodełka Sp. z o.o.,Niebieski Jodełka,Mateusz,,Piątek,03250791818,1245496112,,2012-07-05,2020-12-23,,62.01.Z,"Długa 136, 80-831 Gdańsk","Długa 136, 80-831 Gdańsk",607152367,mateuszpiatek@yahoo.com,https://www.niebieski-jodelka.pl
FIRMAID-00137,Niebieski Kaktus SP Z O O,Niebieski Kaktus,Elżbieta,Renata,Sadowska,04261493168,1245575308,,2021-07-31,2023-09-03,,62.01.Z,"ul. Grunwaldzka 153/59, 80-236 Gdańsk","ul. Grunwaldzka 153/59, 80-236 Gdańsk",719 237 219,elzbieta_sadowska@gmail.com,https://niebieski-kaktus.com.pl
FIRMAID-00138,Niebieski Szmaragd spółka z ograniczoną odpowiedzialnością,Niebieski Szmaragd,Dawid,Maciej,Włodarczyk,05272194554,1245654491,,2015-11-06,2024-06-19,,43.22.Z,70-435 Szczecin,70-435 Szczecin,+48 695 779 333,dawid.wlodarczyk91@outlook.com,https://www.niebieski-szmaragd-group.eu
FIRMAID-00139,Niebieski Topaz Spółka z ograniczoną odpowiedzialnością,Niebieski Topaz,Dorota,,Borkowska,60082895909,1245733687,,2018-03-29,2021-05-16,,62.01.Z,"ulica Wyszyńskiego 7, 70-200 Szczecin","ulica Wyszyńskiego 7, 70-200 Szczecin",(48) 527279097,dorota.borkowska@wp.pl,
FIRMAID-00140,Niebieski Granit S.A.,Niebieski Granit,Dariusz,Zbigniew,Sawicki,61090797294,1245812872,,2019-04-11,,2024-11-29,70.22.Z,"Mariacka 24, 40-014 Katowice","Mariacka 24, 40-014 Katowice",+48 731 884 701,d.sawicki@onet.pl,https://www.niebieski-granit-group.pl
FIRMAID-00141,P.P.H.U. Niebieski Marmur,P.P.H.U. Niebieski Marmur,Beata,Patrycja,Dudek,62101498645,1245892061,,2015-10-11,2023-11-03,,70.22.Z,"ul. Warszawska 41/21, 40-009 Katowice","ul. Warszawska 41/21, 40-009 Katowice",48-543-999-037,dudek.beata@interia.pl,https://www.niebieski-marmur.com.pl
FIRMAID-00142,Niebieski Syrena S. A.,Niebieski Syrena,Sławomir,,Adamczyk,63112100035,1245971257,,2024-03-02,2022-06-15,2025-12-15,66.22.Z,"ul Krakowskie Przedmieście 58, 20-002 Lublin","ul Krakowskie Przedmieście 58, 20-002 Lublin",541710371,slawomiradamczyk@o2.pl,https://niebieski-syrena.eu
FIRMAID-00143,Niebieski Zodiak Spółka Akcyjna,Niebieski Zodiak,Urszula,Wiktoria,Pawłowska,64122801385,1246050447,,2010-12-31,2021-07-22,20251023,62.01.Z,"ulica Narutowicza 75, 20-004 Lublin","ulica Narutowicza 75, 20-004 Lublin",48-595-462-248,urszula_pawlowska@proton.me,https://www.niebieski-zodiak-group.local
FIRMAID-00144,Niebieski Olimp sp. z o.o.,Niebieski Olimp,Mariusz,Jacek,Nowicki,65010702773,1246129634,,2017-08-16,2025-11-27,02/11/2026,43.22.Z,"Lipowa 92, 15-424 Białystok","Lipowa 92, 15-424 Białystok",48-674-861-062,mariusz.nowicki97@yahoo.com,https://www.niebieski-olimp-group.pl
FIRMAID-00145,Niebieski Zorza sp z oo,Niebieski Zorza,Izabela,,Sokołowska,66021404122,1256208855,,2018-02-23,2024-08-11,2025/07/01,43.22.Z,"ul. Sienkiewicza 109/73, 15-092 Białystok","ul. Sienkiewicza 109/73, 15-092 Białystok",48-511-990-435,izabela.sokolowska@gmail.com,
FIRMAID-00146,Niebieski Krokus sp. z o. o.,Niebieski Krokus,Henryk,Przemysław,Wróbel,67032105518,1246288019,,2022-08-13,,2022-06-09,70.22.Z,"os. Gdańska 126, 85-005 Bydgoszcz","os. Gdańska 126, 85-005 Bydgoszcz",760278445,h.wrobel@outlook.com,https://www.niebieski-krokus.eu
FIRMAID-00147,Niebieski Narcyz Sp. z o.o.,Niebieski Narcyz,Weronika,Kinga,Majewska,68042806868,1246367204,,2021-01-06,,,70.22.Z,"ulica Dworcowa 143, 85-009 Bydgoszcz","ulica Dworcowa 143, 85-009 Bydgoszcz",556 651 798,majewska.weronika@wp.pl,https://niebieski-narcyz.local
FIRMAID-00148,Niebieski Giewont SP Z O O,Niebieski Giewont,Stanisław,,Olszewski,69050708252,1246446398,,2023-01-27,2023-01-31,,43.22.Z,"Szeroka 160, 87-100 Toruń","Szeroka 160, 87-100 Toruń",48-501-150-944,stanislawolszewski@onet.pl,https://www.niebieski-giewont-group.pl
FIRMAID-00149,Niebieski Rysy spółka z ograniczoną odpowiedzialnością,Niebieski Rysy,Zofia,Kamila,Jaworska,70061409609,1246525583,,2014-06-21,2025-01-05,2023-11-22,43.22.Z,"ul. Chełmińska 177/35, 87-100 Toruń","ul. Chełmińska 177/35, 87-100 Toruń",665 862 355,zofia_jaworska@interia.pl,https://www.niebieski-rysy-group.com.pl
FIRMAID-00150,Niebieski Kasprowy Spółka z ograniczoną odpowiedzialnością,Niebieski Kasprowy,Bartłomiej,Daniel,Malinowski,71072110999,1246604779,,2014-12-15,2023-09-28,,64.19.Z,"ul 3 Maja 14, 35-030 Rzeszów","ul 3 Maja 14, 35-030 Rzeszów",583430742,bartlomiej.malinowski74@abxza.pl,https://www.niebieski-kasprowy-group.eu
,Amber Budownictwo S.A.,Amber Budownictwo,Olga,,Pająk,72082812349,1246683968,,,2022-11-10,2022-01-17,70.22.Z,"ulica Piłsudskiego 31, 35-074 Rzeszów","ulica Piłsudskiego 31, 35-074 Rzeszów",48-603-151-651,olga.pajak@proton.me,
FIRMAID-00152,Amber Transport SA,Amber Transport,Damian,Waldemar,Szczepański,73090713732,1246763153,,2011-08-24,2024-08-09,,70.22.Z,"Sienkiewicza 48, 25-007 Kielce","Sienkiewicza 48, 25-007 Kielce",+48 608 400 162,d.szczepanski@yahoo.com,https://amber-transport.pl
FIRMAID-00153,Amber Spedycja S. A.,Amber Spedycja,Ewelina,Danuta,Czerwińska,74101415085,1246842349,,2020-03-11,,,64.19.Z,"ul. Warszawska 65/87, 25-512 Kielce","ul. Warszawska 65/87, 25-512 Kielce",48-739-250-873,czerwinska.ewelina@gmail.com,https://www.amber-spedycja-group.com.pl
FIRMAID-00154,Amber Logistyka Spółka Akcyjna,Amber Logistyka,Bartosz,,Kubiak,75112116471,1246921534,,2011-12-30,,,62.01.Z,"ul Kościuszki 82, 10-504 Olsztyn","ul Kościuszki 82, 10-504 Olsztyn",776 558 193,bartoszkubiak@outlook.com,https://www.amber-logistyka-group.eu
FIRMAID-00155,Amber Handel sp. z o.o.,Amber Handel,Sylwia,Aneta,Wilk,76122817820,1247000724,,2010-03-16,,2023-07-21,66.22.Z,"ulica Dąbrowszczaków 99, 10-540 Olsztyn","ulica Dąbrowszczaków 99, 10-540 Olsztyn",(48) 560486239,sylwia_wilk@wp.pl,https://www.amber-handel-group.local
FIRMAID-00156,Amber Usługi sp z oo,Amber Usługi,Leszek,Kacper,Wysocki,77010719219,1247079915,,2014-12-26,2027-02-03,,70.22.Z,"Krakowska 116, 45-018 Opole","Krakowska 116, 45-018 Opole",677 413 901,leszek.wysocki80@onet.pl,https://www.amber-uslugi.pl
