PESEL,Imie,DrugieImie,Nazwisko,NazwiskoRodowe,DataUrodzenia,Plec,MiejsceUrodzenia,Obywatelstwo,ImieOjca,ImieMatki,AdresZameldowania,AdresKorespondencyjny,NumerDowoduOsobistego,NumerPaszportu,Telefon,Email
76021454805,Barbara,,Tomaszewska,,1976/14/02,K,Gdynia,PL,Tomasz,Magdalena,"ul. Długa 37/55, 58-100 Świdnica","ul. Długa 37/55, 58-100 Świdnica",XCC974047,,589140428,barbara.tomaszewska@interia.pl
87032156193,Rafał,Paweł,Zając,,21-03-1977,M,Poznań,PL,Michał,Monika,"ul Wojska Polskiego 54, 57-300 Kłodzko","ul Wojska Polskiego 54, 57-300 Kłodzko",AHN750590,PA2983884,(48) 735609716,r.zajac@o2.pl
78042857542,Anna,Magdalena,Pietrzak,Borkowska,1978-28-04,K,Białystok,PL,Krzysztof,Agnieszka,"ulica Chrobrego 71, 62-200 Gniezno","ulica Chrobrego 71, 62-200 Gniezno",DMY727133,,48-681-636-635,pietrzak.anna@proton.me
79050758935,Tomasz,,Wójcicki,,19790507,M,Bydgoszcz,PL,Paweł,Barbara,"Słowiańska 88, 64-100 Leszno","Słowiańska 88, 64-100 Leszno",GRJ403676,,48-693-920-519,tomaszwojcicki@yahoo.com
80061460287,Katarzyna,Agnieszka,Czarnecka,Nowacka,14/06/1980,K,Gdańsk,PL,Adam,Justyna,"105/17, 83-110 Tczew","105/17, 83-110 Tczew",,,48-684-549-011,katarzyna_czarnecka@gmail.com
81072161673,Krzysztof,Wojciech,Lis,,1981/21/07,M,Gdynia,PL,Robert,Anna,"ul Sobieskiego 122, 84-200 Wejherowo","ul Sobieskiego 122, 84-200 Wejherowo",MBF056762,PL9092973,+48 633 477 668,krzysztof.lis96@outlook.com
82082863023,Ewa,,Kołodziej,,28-08-1982,K,Lublin,PL,Marek,Maria,"ulica Głęboka 139, 43-400 Cieszyn","ulica Głęboka 139, 43-400 Cieszyn",PGQ733305,,(48) 648866880,ewa.kolodziej@wp.pl
83090764416,Adam,Piotr,Kaczmarek,,1983-07-09,M,Toruń,PL,Wojciech,Katarzyna,"Małachowskiego 156, 42-500 Będzin","Małachowskiego 156, 42-500 Będzin",SLB709848,P3601348,48-777-962-829,a.kaczmarek@onet.pl
84101465768,Monika,Maria,Piątek,Kamińska,19841014,K,Łódź,PL,Rafał,Joanna,"os. Królowej Jadwigi 173/69, 88-100 Inowrocław","os. Królowej Jadwigi 173/69, 88-100 Inowrocław",VQM086391,,(48) 535992589,piatek.monika@interia.pl
85112167155,Marek,,Sadowski,,21/11/1985,M,Bydgoszz,PL,Piotr,Ewa,"ul Wybickiego 10, 86-300 Grudziądz","ul Wybickiego 10, 86-300 Grudziądz",YVX462934,PL1247498,+48 714 402 236,mareksadowski@o2.pl
86122868504,Barbara,Joanna,Włodarczyk,Zielińska,1986/28/12,K,Gdynia,PL,Tomasz,Magdalena,"ulica Czarnieckiego 27, 14-100 Ostróda","ulica Czarnieckiego 27, 14-100 Ostróda",BAI739477,,48-649-418-065,barbara_wlodarczyk@proton.me
87010769893,Rafał,Paweł,Borkowski,,07-01-1987,M,Rzeszów,PL,Michał,Monika,"44, Giżycko","44, Giżycko",EFT116020,P1095916,48-721-805-790,rafal.borkowski73@yahoo.com
88021471245,Anna,,Kowalska-Krawczyk,Krawczyk,1988-14-02,K,Gdynia,PL,Krzysztof,Agnieszka,"ul. Lubelska 61/31, 24-100 Puławy","ul. Lubelska 61/31, 24-100 Puławy",,,48-799-866-070,anna.kowalska.krawczyk@gmail.com
89032172631,Tomasz,Robert,Nowacki,,19890321,M,Łódź,PL,Paweł,Barbara,"ul Staszica 78, 22-400 Zamość","ul Staszica 78, 22-400 Zamość",KPP869106,PA1770285,48-631-662-030,t.nowacki@outlook.com
90042873980,Katarzyna,Agnieszka,Wiśniewska,Krawczyk,28/04/1990,K,Wrocław,PL,Adam,Justyna,"ulica 3 Maja 95, 16-300 Augustów","ulica 3 Maja 95, 16-300 Augustów",NUA545649,PL2921112,787 118 919,wisniewska.katarzyna@wp.pl
91050775374,Krzysztof,,Wójcik,,1991/07/05,M,Toruń,PL,Robert,Anna,"Kościuszki 112, 16-400 Suwałki","Kościuszki 112, 16-400 Suwałki",QZL922192,,+48 647 691 646,krzysztofwojcik@onet.pl
92061476722,Ewa,Justyna,Kowalczyk,Jankowska,14-06-1992,K,Lublin,PL,Marek,Maria,"ul. Piastowska 129/83, 48-300 Nysa","ul. Piastowska 129/83, 48-300 Nysa",TEW798735,,640267570,ewa_kowalczyk@interia.pl
93072178119,Adam,Piotr,Kamiński,,1993-21-07,M,Bydgoszcz,PL,Wojciech,Katarzyna,"ul Długa 146, 49-300 Brzeg","ul Długa 146, 49-300 Brzeg",WJH775278,,+48 545 324 497,adam.kaminski79@o2.pl
94082879469,Monika,,Lewandowska,,19940828,K,Gdynia,PL,Rafał,Joanna,"163, 68-200 Żary","163, 68-200 Żary",ZOS851821,P9562455,742 444 868,monika.lewandowska@proton.me
95090780855,Marek,Michał,Zieliński,,07/09/1995,M,Kraków,PL,Piotr,Ewa,"Sikorskiego 180, 66-200 Świebodzin","Sikorskiego 180, 66-200 Świebodzin",CTD928364,,48-775-743-448,m.zielinski@yahoo.com
96101482207,Barbara,Joanna,Szymańska,Król,1996/14/10,K,Szczecin,PL,Tomasz,Magdalena,"ul. Armii Krajowej 17/45, 78-100 Kołobrzeg","ul. Armii Krajowej 17/45, 78-100 Kołobrzeg",,PL1353650,743499610,szymanska.barbara@gmail.com
97112183594,Rafał,,Dąbrowski,,21-11-1997,M,Białystok,PL,Michał,Monika,"ul Piłsudskiego 34, 73-110 Stargard","ul Piłsudskiego 34, 73-110 Stargard",IDZ881450,PL6688025,48-535-123-037,rafaldabrowski@outlook.com
98122884943,Anna,Magdalena,Mazur,Jabłońska,1998-28-12,K,Opole,PL,Krzysztof,Agnieszka,"ulica Mickiewicza 51, 27-600 Sandomierz","ulica Mickiewicza 51, 27-600 Sandomierz",LIK857993,PA9060697,528693432,anna_mazur@wp.pl
99010786332,Tomasz,Robert,Krawczyk,,19990107,M,Olsztyn,PL,Paweł,Barbara,"Sienkiewicza 68, 27-400 Ostrowiec Świętokrzyski","Sienkiewicza 68, 27-400 Ostrowiec Świętokrzyski",ONV534536,,(48) 598621261,tomasz.krawczyk85onet.pl
00221487686,Katarzyna,,Woźniak,,14/02/2000,K,Poznań,PL,Adam,Justyna,"ul. Marszałkowska 85/7, 00-590 Warszawa","ul. Marszałkowska 85/7, 00-590 Warszawa",RSG511079,,+48 649 744 546,katarzyna.wozniak@interia.pl
01232189073,Krzysztof,Wojciech,Jankowski,,2001/21/03,M,Rzeszów,PL,Robert,Anna,"ul Krakowskie Przedmieście 102, 00-071 Warszawa","ul Krakowskie Przedmieście 102, 00-071 Warszawa",UXR987622,,48-605-626-115,k.jankowski@o2.pl
02242890425,Ewa,Justyna,Grabowska,Baran,28-04-2002,K,Toruń,PL,Marek,Maria,"ulica Floriańska 119, 31-019 Kraków","ulica Floriańska 119, 31-019 Kraków",XCC164165,,695891887,grabowska.ewa@proton.me
03250791818,Adam,,Pawlak,,2003-07-05,M,Bydgoszcz,PL,Wojciech,Katarzyna,"Długa 136, 31-147 Kraków","Długa 136, 31-147 Kraków",AHN340708,,706 311 814,adampawlak@yahoo.com
04261493168,Monika,Maria,Michalska,Górska,20040614,K,Łódź,PL,Rafał,Joanna,"ul. Piotrkowska 153/59, 90-102 Łódź","ul. Piotrkowska 153/59, 90-102 Łódź",,PL3931143,+48 571 826 945,monika_michalska@gmail.com
05272194554,Marek,Michał,Król,,21/07/2005,M,Wrocław,PL,Piotr,Ewa,90-402 Łódź,90-402 Łódź,GRJ693794,,48-772-475-286,marek.krol91@outlook.com
60082895909,Barbara,,Wieczorek,,1960/28/08,K,Zielona Góra,PL,Tomasz,Magdalena,"ulica Świdnicka 7, 50-066 Wrocław","ulica Świdnicka 7, 50-066 Wrocław",JWU370337,,640 197 320,barbara.wieczorek@wp.pl
61090797294,Rafał,Paweł,Jabłoński,,07-09-1961,M,Gdynia,PL,Michał,Monika,"Legnicka 24, 54-203 Wrocław","Legnicka 24, 54-203 Wrocław",MBF246880,,698 366 708,r.jablonski@onet.pl
62101498645,Anna,Magdalena,Witkowska,Zając,1962-14-10,K,Poznań,PL,Krzysztof,Agnieszka,"ul. Święty Marcin 41/21, 61-806 Poznań","ul. Święty Marcin 41/21, 61-806 Poznań",PGQ923423,PA2151995,656161003,witkowska.anna@interia.pl
63112100035,Tomasz,,Walczak,,19631121,M,Toruń,PL,Paweł,Barbara,"ul Głogowska 58, 60-734 Poznań","ul Głogowska 58, 60-734 Poznań",SLB999966,PA6946529,503 925 281,tomaszwalczak@o2.pl
64122801385,Katarzyna,Agnieszka,Stępień,Wójcicka,28/12/1964,K,Wrocław,PL,Adam,Justyna,"ulica Długa 75, 80-831 Gdańsk","ulica Długa 75, 80-831 Gdańsk",,,+48 747 116 806,katarzyna_stepien@proton.me
65010702773,Krzysztof,Wojciech,Baran,,1965/07/01,M,Lublin,PL,Robert,Anna,"Grunwaldzka 92, 80-236 Gdańsk","Grunwaldzka 92, 80-236 Gdańsk",YVX953052,PA5532920,+48 502 275 283,krzysztof.baran97@yahoo.com
66021404122,Ewa,,Rutkowska,,14-02-1966,K,Katowice,PL,Marek,Maria,"ul. Jagiellońska 109/73, 70-435 Szczecin","ul. Jagiellońska 109/73, 70-435 Szczecin",,,788693410,ewa.rutkowska@gmail.com
67032105518,Adam,Piotr,Górski,,1967-21-03,M,Lublin,PL,Wojciech,Katarzyna,"os. Wyszyńskiego 126, 70-200 Szczecin","os. Wyszyńskiego 126, 70-200 Szczecin",EFT606138,PA5532920,+48 502 275 283,a.gorski@outlook.com
68042806868,Monika,Maria,Sikora,Kaczmarek,19680428,K,Katowice,PL,Rafał,Joanna,"ulica Mariacka 143, 40-014 Katowice","ulica Mariacka 143, 40-014 Katowice",HKE082681,,788693410,sikora.monika@wp.pl
69050708252,Marek,,Ostrowski,,07/05/1969,M,Gdańsk,PL,Piotr,Ewa,"Warszawska 160, 40-009 Katowice","Warszawska 160, 40-009 Katowice",KPP059224,,+48 525 273 611,marekostrowski@onet.pl
70061409609,Barbara,Joanna,Tomaszewska,Sadowska,1970/14/06,K,Katowice,PL,Tomasz,Magdalena,"ul. Krakowskie Przedmieście 177/35, 20-002 Lublin","ul. Krakowskie Przedmieście 177/35, 20-002 Lublin",NUA735767,PL1009677,+48 555 187 775,barbara_tomaszewska@interia.pl
71072110999,Rafał,Paweł,Zając,,21-07-1971,M,Białystok,PL,Michał,Monika,"ul Narutowicza 14, 20-004 Lublin","ul Narutowicza 14, 20-004 Lublin",QZL112310,PL3212271,556 486 342,rafal.zajac74@abxza.pl
72082812349,Anna,,Pietrzak,,1972-28-08,K,Łódź,PL,Krzysztof,,"ulica Lipowa 31, 15-424 Białystok","ulica Lipowa 31, 15-424 Białystok",TEW988853,PA1105125,,anna.pietrzak@proton.me
73090713732,Tomasz,Robert,Wójcicki,Kowalski-Szymański,19730907,M,Lublin,PL,Paweł,Barbara,"Sienkiewicza 48, 15-092 Białystok","Sienkiewicza 48, 15-092 Białystok",WJH965396,,(48) 766343541,t.wojcicki@yahoo.com
74101415085,Katarzyna,Agnieszka,Czarnecka,Nowacka,14/10/1974,K,Opole,,Adam,Justyna,"ul. Gdańska 65/87, 85-005 Bydgoszcz","ul. Gdańska 65/87, 85-005 Bydgoszcz",,,+48 717 324 164,czarnecka.katarzyna@gmail.com
75112116471,Krzysztof,,Lis,,1975/21/11,M,Opole,PL,Robert,Anna,"ul Dworcowa 82, 85-009 Bydgoszcz","ul Dworcowa 82, 85-009 Bydgoszcz",CTD118482,,685 596 818,krzysztoflis@outlook.com
76122817820,Ewa,Justyna,Kołodziej,Wójcik,28-12-1976,K,Gdynia,PL,Marek,Maria,"ulica Szeroka 99, 87-100 Toruń","ulica Szeroka 99, 87-100 Toruń",FYO895025,,(48) 654607799,ewa_kolodziej@wp.pl
77010719219,Adam,Piotr,Kaczmarek,,1977-07-01,M,Białystok,PL,Wojciech,Katarzyna,"Chełmińska 116, 87-100 Toruń","Chełmińska 116, 87-100 Toruń",IDZ371568,,575901110,adam.kaczmarek80@onet.pl
78021420561,Monika,,Piątek,,19780214,K,Wrocław,PL,Rafał,Joanna,"ul. 3 Maja 133/49, 35-030 Rzeszów","ul. 3 Maja 133/49, 35-030 Rzeszów",LIK448111,,+48 609 797 136,monika.piatek@interia.pl
79032121957,aMrek,Michał,Sadowski,,21/03/1979,M,Katowcie,PL,Piotr,Ewa,"ul Piłsudskiego 150, 35-074 Rzeszów","ul Piłsudskiego 150, 35-074 Rzeszów",ONV724654,P4689255,+48 511 846 552,m.sadowski@o2.pl
80042823306,Barbara,Joanna,Włodarczyk,Zielińska,1980/28/04,K,Opole,PL,Tomasz,Magdalena,"ulica Sienkiewicza 167, 25-007 Kielce","ulica Sienkiewicza 167, 25-007 Kielce",RSG701197,,567 132 839,wlodarczyk.barbara@proton.me
91050724690,Rafał,,Borkowski,,07-05-1981,M,Wrocł,PL,Michał,Monika,"Warszawska 4, 25-512 Kielce","Warszawska 4, 25-512 Kielce",UXR177740,,548 316 005,rafalborkowski@yahoo.com
82061426049,Anna,Magdalena,Kowalska-Krawczyk,Kowalska,1982-14-06,K,Rzeszów,PL,Krzysztof,Agnieszka,"ul. Kościuszki 21/11, 10-504 Olsztyn","ul. Kościuszki 21/11, 10-504 Olsztyn",,PL1998522,(48) 585250137,anna_kowalska.krawczyk@gmail.com
83072127435,Tomasz,Robert,Nowacki,,19830721,M,Lublin,PL,Paweł,Barbara,"ul Dąbrowszczaków 38, 10-540 Olsztyn","ul Dąbrowszczaków 38, 10-540 Olsztyn",AHN530826,,+48 622 776 443,tomasz.nowacki86@outlook.com
84082828785,Katarzyna,,Wiśniewska,,28/08/1984,K,Rzeszów,PL,Adam,Justyna,"ulica Krakowska 55, 45-018 Opole","ulica Krakowska 55, 45-018 Opole",DMY407369,P6249254,(48) 709659943,katarzyna.wisniewska@wp.pl
85090730172,Krzysztof,Wojciech,Wójcik,,1985/07/09,M,Białystok,PL,Robert,Anna,"Ozimska 72, 45-057 Opole","Ozimska 72, 45-057 Opole",GRJ983912,,662247969,k.wojcik@onet.pl
86101431523,Ewa,Justyna,Kowalczyk,Jankowska,14-10-1986,K,Toruń,PL,Marek,Maria,"ul. Bohaterów Westerplatte 89/63, 65-034 Zielona Góra","ul. Bohaterów Westerplatte 89/63, 65-034 Zielona Góra",JWU560455,PA2358519,694 215 605,kowalczyk.ewa@interia.pl
87112132919,Adam,,Kamiński,,1987-21-11,M,Poznań,PL,Wojciech,Katarzyna,"ul Kupiecka 106, 65-058 Zielona Góra","ul Kupiecka 106, 65-058 Zielona Góra",MBF736998,,48-654-824-720,adamkaminski@o2.pl
88122834260,Monika,Maria,Lewandowska,Pawlak,19881228,K,Białystok,PL,Rafał,Joanna,"ulica Świętojańska 123, 81-372 Gdynia","ulica Świętojańska 123, 81-372 Gdynia",PGQ113541,P3502610,48-723-780-633,monika_lewandowska@proton.me
89010735658,Marek,Michał,Zieliński,,07/01/1989,M,Kraków,PL,Piotr,Ewa,"10 Lutego 140, 81-364 Gdynia","10 Lutego 140, 81-364 Gdynia",SLB190084,,570 500 727,marek.zielinski92@yahoo.com
90021437006,Barbara,,Szymańska,,1990/14/02,K,Kraków,PL,Tomasz,Magdalena,"ul. Bolesława Prusa 157/25, 05-800 Pruszków","ul. Bolesława Prusa 157/25, 05-800 Pruszków",,,(48) 593263908,barbara.szymanska@gmail.com
91032138393,Rafał,Paweł,Dąbrowski,,21-03-1991,M,Szczecin,PL,Michał,Monika,"ul Kościuszki 174, 05-500 Piaseczno","ul Kościuszki 174, 05-500 Piaseczno",YVX143170,P9764778,719723089,r.dabrowski@outlook.com
92042839742,Anna,Magdalena,Mazur,Jabłońska,1992-28-04,K,Opole,PL,Krzysztof,Agnieszka,"ulica Sienkiewicza 11, 32-020 Wieliczka","ulica Sienkiewicza 11, 32-020 Wieliczka",BAI219713,,653243630,mazur.anna@wp.pl
93050741139,Tomasz,,Krawczyk,,19930507,M,Katowice,PL,Paweł,Barbara,"Dąbrowskiego 28, 32-600 Oświęcim","Dąbrowskiego 28, 32-600 Oświęcim",EFT896256,PL3800572,(48) 587229662,tomaszkrawczyk@onet.pl
94061442488,Katarzyna,Agnieszka,Woźniak,Walczak,14/06/1994,K,Gdańsk,PL,Adam,Justyna,"ul. Rynek 45/77, 38-400 Krosno","ul. Rynek 45/77, 38-400 Krosno",HKE572799,PL2492440,728216354,katarzyna_wozniak@interia.pl
95072143874,Krzysztof,Wojciech,Jankowski,,1995/21/07,M,Poznań,PL,Robert,Anna,"ul Mickiewicza 62, 39-300 Mielec","ul Mickiewicza 62, 39-300 Mielec",KPP249342,PA6319951,656 582 113,krzysztof.jankowski98@o2.pl
96082845224,Ewa,,Grabowska,,28-08-1996,K,Warszawa,PL,Marek,Maria,"os. Długa 79, 58-100 Świdnica","os. Długa 79, 58-100 Świdnica",NUA925885,,730166519,ewa.grabowska@proton.me
97090746617,Adam,Piotr,Pawlak,,1997-07-09,M,Poznań,PL,Wojciech,Katarzyna,"96, 57-300 Kłodzko","96, 57-300 Kłodzko",QZL602428,,(48) 502462281,a.pawlak@yahoo.com
98101447969,Monika,Maria,Michalska,Górska,19981014,K,Opole,PL,Rafał,Joanna,"ul. Chrobrego 113/39, 62-200 Gniezno","ul. Chrobrego 113/39, 62-200 Gniezno",,,746 391 410,michalska.monika@gmail.com
99112149356,Marek,,Król,,21/11/1999,M,Wrocław,PL,Piotr,Ewa,"ul Słowiańska 130, 64-100 Leszno","ul Słowiańska 130, 64-100 Leszno",WJH255514,,707857404,marekkrol@outlook.com
00322850703,Barbara,Joanna,Wieczorek,Ostrowska,2000/28/12,K,Opole,PL,Tomasz,Magdalena,"ulica Gdańska 147, 83-110 Tczew","ulica Gdańska 147, 83-110 Tczew",ZOS832057,,(48) 778728075,barbara_wieczorek@wp.pl
01210752093,Rafał,Paweł,Jabłoński,,07-01-2001,M,Kraków,PL,Michał,Monika,"Sobieskiego 164, 84-200 Wejherowo","Sobieskiego 164, 84-200 Wejherowo",CTD508600,PA2277949,618 880 851,rafal.jablonski75@onet.pl
02221453441,Anna,,Witkowska,,2002-14-02,K,Rzeszów,PL,Krzysztof,Agnieszka,"ul. Głęboka 1/1, 43-400 Cieszyn","ul. Głęboka 1/1, 43-400 Cieszyn",FYO085143,,+48 772 798 758,anna.witkowska@interia.pl
03232154837,Tomasz,Robert,Walczak,,2003-03-21T02:20:24Z,M,Szczecin,PL,Paweł,Barbara,"ul Małachowskiego 18, 42-500 Będzin","ul Małachowskiego 18, 42-500 Będzin",IDZ561686,PL5957709,(48) 704370174,t.walczak@o2.pl
04242856188,Katarzyna,Agnieszka,Stępień,Wójcicka,28/04/2004,K,Warszawa,PL,Adam,Justyna,"ulica Królowej Jadwigi 35, 88-100 Inowrocław","ulica Królowej Jadwigi 35, 88-100 Inowrocław",LIK938229,PA6817685,+48 562 893 965,stepien.katarzyna@proton.me
05250757571,Krzysztof,,Baran,,2005/07/05,M,Gdynia,PL,Robert,Anna,"Wybickiego 52, 86-300","Wybickiego 52, 86-300",ONV914772,,532 165 021,krzysztofbaran@yahoo.com
60061458925,Ewa,Justyna,Rutkowska,Lis,14-06-1960,K,Rzeszów,PL,Marek,Maria,"ul. Czarnieckiego 69/53, 14-100 Ostróda","ul. Czarnieckiego 69/53, 14-100 Ostróda",,PA2799307,+48 746 837 914,ewa_rutkowska@gmail.com
61072160315,Adam,Piotr,Górski,,1961-21-07,M,Kielce,PL,Wojciech,Katarzyna,"ul Warszawska 86, 11-500 Giżycko","ul Warszawska 86, 11-500 Giżycko",UXR667858,,+48 769 756 308,adam.gorski81@outlook.com
62082861665,Monika,,Sikora,,19620828,K,Gdańsk,PL,Rafał,Joanna,"ulica Nieistniejąca 103, 99-999 Nibylandia","ulica Nieistniejąca 103, 99-999 Nibylandia",XCC644401,,+48 625 682 313,monika.sikora@wp.pl
63090763059,Marek,Michał,Ostrowski,,07/09/1963,M,Kraków,PL,Piotr,Ewa,"Staszica 120, 22-400 Zamość","Staszica 120, 22-400 Zamość",AHN720944,PL6396582,571 926 000,m.ostrowski@onet.pl
64101464400,Barbara,Joanna,Tomaszewska,Sadowska,1964/14/10,K,Opole,PL,Tomasz,Magdalena,"ul. 3 Maja 137/15, 16-300 Augustów","ul. 3 Maja 137/15, 16-300 Augustów",DMY697487,,751 190 376,tomaszewska.barbara@interia.pl
65112165797,Rafał,,Zając,,21-11-1965,M,Poznań,PL,Michał,Monika,"ul Kościuszki 154, 16-400 Suwałki","ul Kościuszki 154, 16-400 Suwałki",GRJ474030,PA5401604,48-700-875-199,rafalzajac@o2.pl
66122867147,Anna,Magdalena,Pietrzak,Borkowska,1966-28-12,K,Lublin,PL,Krzysztof,Agnieszka,"ulica Piastowska 171, 48-300 Nysa","ulica Piastowska 171, 48-300 Nysa",JWU750573,,592 820 349,anna_pietrzak@proton.me
67010768535,Tomasz,Robert,Wójcicki,,19670107,M,Bydgoszcz,PL,Paweł,Barbara,"Długa 8, 49-300 Brzeg","Długa 8, 49-300 Brzeg",MBF327116,,48-595-228-644,tomasz.wojcicki87@yahoo.com
68021469884,Katarzyna,,Czarnecka,,14/02/1968,K,Wrocław,PL,Adam,Justyna,"ul. Rynek 25/67, 68-200 Żary","ul. Rynek 25/67, 68-200 Żary",,,591 258 662,katarzyna.czarnecka@gmail.com
69032171274,Krzysztof,Wojciech,Lis,,1969/21/03,M,Opole,PL,Robert,Anna,"ul Sikorskiego 42, 66-200 Świebodzin","ul Sikorskiego 42, 66-200 Świebodzin",SLB480202,PA3523980,48-655-961-184,k.lis@outlook.com
70042872622,Ewa,Justyna,Kołodziej,Wójcik,28-04-1970,K,Szczecin,PL,Marek,Maria,"ulica Armii Krajowej 59, 78-100 Kołobrzeg","ulica Armii Krajowej 59, 78-100 Kołobrzeg",VQM056745,,(48) 675375387,kolodziej.ewa@wp.pl
71050774016,Adam,,Kaczmarek,,1971-07-05,M,Poznań,PL,Wojciech,Katarzyna,"Piłsudskiego 76, 73-110 Stargard","Piłsudskiego 76, 73-110 Stargard",YVX633288,PA9658376,+48 690 409 695,adamkaczmarek@onet.pl
72061475365,Monika,Maria,Piątek,Kamińska,19720614,K,Olsztyn,PL,Rafał,Joanna,"93/29, 27-600 Sandomierz","93/29, 27-600 Sandomierz",BAI409831,PA3447977,774 434 477,monika_piatek@interia.pl
73072176751,Marek,Michał,Sadowski,,21/07/1973,M,Katowice,PL,Piotr,Ewa,"ul Sienkiewicza 110, 27-400 Ostrowiec Świętokrzyski","ul Sienkiewicza 110, 27-400 Ostrowiec Świętokrzyski",EFT086374,,(48) 656868868,marek.sadowski93@o2.pl
74082878101,Barbara,,Włodarczyk,,1974/28/08,K,Kielce,PL,Tomasz,Magdalena,"ulica Marszałkowska 127, 00-590 Warszawa","ulica Marszałkowska 127, 00-590 Warszawa",HKE862917,,(48) 708349558,barbara.wlodarczyk@proton.me
75090779495,Rafał,Paweł,Borkowski,,07-09-1975,M,pOole,PL,Michał,Monika,"Krakowskie Przedmieście 144, 00-071 Warszawa","Krakowskie Przedmieście 144, 00-071 Warszawa",KPP439460,PA7053075,(48) 758455703,r.borkowski@uuu.xs
